time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909627,881000,2958290,2046,2046,43740,43738,0,0,46754,46740,46697,46693,2,2,13724,30424,60478,46697,2046,53,19,19,0,0,13725,0,0,53,41,12,0,2022-07-04T07:40:27,262,4.381349999999999,1656909638.087385,2022-07-04T07:40:38,247317,4.12195,1675.5073973922842
1656909639,876000,2970290,2054,2054,44263,44261,0,0,46979,46965,46922,46918,2,2,13789,30955,60768,46922,2054,53,19,19,0,0,13790,0,0,53,151,12,0,2022-07-04T07:40:39,274,4.581266666666666,1656909648.426025,2022-07-04T07:40:48,259317,4.32195,1746.8157454308487
1656909653,262000,2983290,2062,2062,44684,44682,0,0,47161,47147,47104,47100,2,2,13838,10267,60999,47104,2062,53,19,19,0,0,13839,0,0,53,238,12,0,2022-07-04T07:40:53,288,4.804366666666667,1656909662.2369728,2022-07-04T07:41:02,272317,4.538616666666667,1828.6169977686177
1656909664,237000,2994290,2071,2071,45150,45148,0,0,47360,47346,47303,47299,2,2,13897,15561,61257,47303,2071,53,19,19,0,0,13898,0,0,53,234,12,0,2022-07-04T07:41:04,299,4.987283333333334,1656909672.797036,2022-07-04T07:41:12,283317,4.7219500000000005,1899.729269159876
1656909677,426000,3007290,2082,2082,45727,45725,0,0,47607,47593,47550,47546,2,2,13969,19696,61576,47550,2082,53,19,19,0,0,13970,0,0,53,121,12,0,2022-07-04T07:41:17,312,5.2071,1656909686.470412,2022-07-04T07:41:26,296317,4.938616666666666,1984.1076888671216
1656909689,351000,3019290,2092,2092,46267,46265,0,0,47840,47826,47783,47779,2,2,14033,21801,61873,47783,2092,53,19,19,0,0,14034,0,0,53,23,12,0,2022-07-04T07:41:29,324,5.40585,1656909696.539317,2022-07-04T07:41:36,308317,5.138616666666667,2063.7716323451828
1656909723,304000,3053290,2115,2115,47540,47538,0,0,48390,48376,48333,48329,2,2,14183,33228,62573,48333,2115,53,19,19,0,0,14184,0,0,53,106,12,0,2022-07-04T07:42:03,358,5.971733333333333,1656909732.000553,2022-07-04T07:42:12,342317,5.705283333333333,2281.0969270120727
1656909730,421000,3060290,2120,2120,47855,47853,0,0,48527,48513,48470,48466,2,2,14219,36375,62746,48470,2120,53,19,19,0,0,14220,0,0,53,242,12,0,2022-07-04T07:42:10,365,6.09035,1656909744.919592,2022-07-04T07:42:24,349317,5.82195,2326.8653905663064
1656909746,411000,3076290,2127,2127,48353,48351,0,0,48745,48731,48688,48684,2,2,14274,34365,63019,48688,2127,53,19,19,0,0,14275,0,0,53,65,12,0,2022-07-04T07:42:26,381,6.35685,1656909755.530588,2022-07-04T07:42:35,365317,6.088616666666667,2420.9612897640454
1656909759,828000,3089290,2138,2138,48930,48928,0,0,48994,48980,48937,48932,2,2,14342,35829,63336,48937,2138,53,19,19,0,0,14343,0,0,53,99,12,0,2022-07-04T07:42:39,394,6.580466666666666,1656909766.2403,2022-07-04T07:42:46,378317,6.305283333333334,2501.79139177731
