time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch
1656911861,823900,5208153,3.3499999046325684,11658,15243.318359375,117,13,2,2022-07-04T08:17:41,2496,41.613731666666666,1656911871.5549119,2022-07-04T08:17:51,2497180,41.61966666666667
1656911869,146100,5215475,3.25,11598,15276.1982421875,160,13,2,2022-07-04T08:17:49,2504,41.73576833333333,1656911880.076609,2022-07-04T08:18:00,2504502,41.7417
1656911878,823100,5225152,3.1700000762939453,11514,15322.517578125,213,13,2,2022-07-04T08:17:58,2513,41.89705166666667,1656911887.81438,2022-07-04T08:18:07,2514179,41.90298333333333
1656911886,230800,5232874,3.140000104904175,11447,15359.705078125,2,13,2,2022-07-04T08:18:06,2521,42.020513333333334,1656911896.1246328,2022-07-04T08:18:16,2521901,42.03168333333333
1656911893,734200,5240063,3.180000066757202,11363,15406.6396484375,47,13,2,2022-07-04T08:18:13,2528,42.14557,1656911903.875501,2022-07-04T08:18:23,2529090,42.151500000000006
1656911895,916200,5242245,2.9800000190734863,11332,15424.048828125,56,13,2,2022-07-04T08:18:15,2530,42.181936666666665,1656911911.9093049,2022-07-04T08:18:31,2531272,42.187866666666665
1656911911,253300,5257582,3.0799999237060547,11161,15520.94140625,144,13,2,2022-07-04T08:18:31,2546,42.437554999999996,1656911924.9751558,2022-07-04T08:18:44,2546609,42.44348333333333
1656911924,91400,5270420,3.1600000858306885,11021,15601.384765625,215,13,2,2022-07-04T08:18:44,2559,42.65152333333333,1656911933.334652,2022-07-04T08:18:53,2559447,42.657450000000004
1656911932,865500,5279194,3.130000114440918,10946,15644.90234375,12,13,2,2022-07-04T08:18:52,2567,42.797758333333334,1656911941.0545878,2022-07-04T08:19:01,2568221,42.80368333333333
1656911948,493600,5294822,2.950000047683716,10826,15715.154296875,100,13,2,2022-07-04T08:19:08,2583,43.05822666666666,1656911957.283356,2022-07-04T08:19:17,2583849,43.064150000000005
1656911957,290400,5303723,2.9800000190734863,10760,15754.1259765625,154,13,2,2022-07-04T08:19:17,2592,43.20484,1656911965.612977,2022-07-04T08:19:25,2592750,43.2125
1656911963,690700,5310019,2.6500000953674316,10705,15786.7861328125,190,13,2,2022-07-04T08:19:23,2598,43.31151166666667,1656911974.6939368,2022-07-04T08:19:34,2599046,43.317433333333334
1656911974,410800,5320739,2.880000114440918,10599,15850.2060546875,252,13,2,2022-07-04T08:19:34,2609,43.49018,1656911982.362957,2022-07-04T08:19:42,2609766,43.4961
1656911996,257000,5342585,2.5799999237060547,10416,15961.208984375,121,13,2,2022-07-04T08:19:56,2631,43.854283333333335,1656912006.5023599,2022-07-04T08:20:06,2631612,43.8602
1656912004,767400,5350319,2.4000000953674316,10352,16000.4912109375,164,13,2,2022-07-04T08:20:04,2639,43.99612333333334,1656912014.221704,2022-07-04T08:20:14,2639346,43.9891
1656912014,566200,5360118,2.569999933242798,10284,16042.4970703125,217,13,2,2022-07-04T08:20:14,2649,44.15943666666667,1656912022.802157,2022-07-04T08:20:22,2649145,44.15241666666667
1656912021,659200,5367395,2.619999885559082,10231,16075.4296875,6,13,2,2022-07-04T08:20:21,2656,44.27765333333333,1656912030.6229968,2022-07-04T08:20:30,2656422,44.2737
1656912029,649400,5375201,2.5299999713897705,10173,16111.6650390625,51,13,2,2022-07-04T08:20:29,2664,44.41082333333333,1656912038.943096,2022-07-04T08:20:38,2664228,44.403800000000004
1656912037,409400,5382961,2.569999933242798,10119,16145.58984375,94,13,2,2022-07-04T08:20:37,2672,44.54015666666667,1656912047.314884,2022-07-04T08:20:47,2671988,44.53313333333333
1656912043,922500,5389474,2.5899999141693115,10075,16173.365234375,131,13,2,2022-07-04T08:20:43,2678,44.64870833333334,1656912055.183156,2022-07-04T08:20:55,2678501,44.64168333333334
1656912062,267400,5407973,2.440000057220459,9952,16251.66015625,237,13,2,2022-07-04T08:21:02,2697,44.95445666666667,1656912072.19332,2022-07-04T08:21:12,2697000,44.95
1656912069,845700,5415397,2.5199999809265137,9899,16285.697265625,24,13,2,2022-07-04T08:21:09,2704,45.08076166666667,1656912079.941145,2022-07-04T08:21:19,2704424,45.07373333333333
1656912073,222700,5419108,2.359999895095825,9872,16303.1064453125,42,13,2,2022-07-04T08:21:13,2708,45.13704499999999,1656912084.570937,2022-07-04T08:21:24,2708135,45.13558333333334
1656912093,759900,5439311,2.5299999713897705,9732,16394.150390625,157,13,2,2022-07-04T08:21:33,2728,45.47933166666667,1656912101.410616,2022-07-04T08:21:41,2728338,45.472300000000004
1656912102,645000,5448196,2.509999990463257,9671,16434.23046875,210,13,2,2022-07-04T08:21:42,2737,45.62741666666667,1656912109.110632,2022-07-04T08:21:49,2737223,45.62038333333333
1656912111,525100,5457128,2.380000114440918,9597,16483.1953125,7,13,2,2022-07-04T08:21:51,2746,45.77541833333333,1656912118.160732,2022-07-04T08:21:58,2746155,45.76925000000001
1656912118,431200,5464034,2.4700000286102295,9550,16514.490234375,44,13,2,2022-07-04T08:21:58,2753,45.89052,1656912125.2003639,2022-07-04T08:22:05,2753061,45.884350000000005
1656912134,23300,5479626,2.4200000762939453,9437,16590.3671875,132,13,2,2022-07-04T08:22:14,2769,46.15038833333333,1656912141.9098608,2022-07-04T08:22:21,2768653,46.144216666666665
1656912141,960300,5487563,2.200000047683716,9378,16630.34765625,177,13,2,2022-07-04T08:22:21,2776,46.28267166666667,1656912149.600196,2022-07-04T08:22:29,2776590,46.276500000000006
1656912150,889500,5496492,2.390000104904175,9317,16671.94921875,230,13,2,2022-07-04T08:22:30,2785,46.43149166666667,1656912157.849828,2022-07-04T08:22:37,2785519,46.42531666666666
1656912162,450300,5508387,2.059999942779541,9213,16743.509765625,44,13,2,2022-07-04T08:22:42,2797,46.62417166666667,1656912174.002588,2022-07-04T08:22:54,2797414,46.62356666666667
1656912172,794600,5518397,2.059999942779541,9094,16826.390625,97,13,2,2022-07-04T08:22:52,2807,46.79657666666667,1656912182.260885,2022-07-04T08:23:02,2807424,46.7904
