time_s,time_us,time_steady,is_open[0],is_open[1],is_open[2],is_open[3],seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656910079,668000,3407798,1,1,1,1,104,12,0,2022-07-04T07:47:59,714,11.911133333333334,1656910088.236264,2022-07-04T07:48:08,696825,11.613750000000001,4407.559828163575
1656910091,168000,3419398,1,1,1,1,232,12,0,2022-07-04T07:48:11,726,12.1028,1656910098.325124,2022-07-04T07:48:18,708425,11.807083333333333,4475.258073109117
1656910103,394000,3431698,1,1,1,1,111,12,0,2022-07-04T07:48:23,738,12.306566666666667,1656910112.185137,2022-07-04T07:48:32,720725,12.012083333333333,4556.6409861746315
1656910115,247000,3443498,1,1,1,1,241,12,0,2022-07-04T07:48:35,750,12.504116666666667,1656910122.736744,2022-07-04T07:48:42,732525,12.20875,4625.9760320009245
1656910137,967000,3467298,1,1,1,1,247,12,0,2022-07-04T07:48:57,772,12.882783333333332,1656910147.041869,2022-07-04T07:49:07,756325,12.605416666666667,4770.695405940873
1656910151,346000,3479398,1,1,1,1,124,12,0,2022-07-04T07:49:11,786,13.105766666666666,1656910156.8758168,2022-07-04T07:49:16,768425,12.807083333333333,4839.136451811842
1656910163,360000,3491198,1,1,1,1,253,12,0,2022-07-04T07:49:23,798,13.306000000000001,1656910170.3860729,2022-07-04T07:49:30,780225,13.00375,4913.263300396791
1656910174,470000,3502298,1,1,1,1,120,12,0,2022-07-04T07:49:34,809,13.491166666666667,1656910181.1054878,2022-07-04T07:49:41,791325,13.18875,4981.905682876951
1656910186,243000,3514098,1,1,1,1,249,12,0,2022-07-04T07:49:46,821,13.687383333333335,1656910194.6950128,2022-07-04T07:49:54,803125,13.385416666666666,5056.1300425853315
1656910198,433000,3525798,1,1,1,1,122,12,0,2022-07-04T07:49:58,833,13.89055,1656910205.426997,2022-07-04T07:50:05,814825,13.580416666666668,5128.605578011433
1656910209,824000,3537198,1,1,1,1,247,12,0,2022-07-04T07:50:09,844,14.0804,1656910218.938513,2022-07-04T07:50:18,826225,13.770416666666668,5202.741980619996
1656910222,321000,3549898,1,1,1,1,131,12,0,2022-07-04T07:50:22,857,14.288683333333333,1656910229.665664,2022-07-04T07:50:29,838925,13.982083333333332,5281.601558328001
1656910229,40000,3556498,1,1,1,1,204,12,0,2022-07-04T07:50:29,864,14.400666666666666,1656910243.3139808,2022-07-04T07:50:43,845525,14.092083333333333,5334.593924596795
1656910244,519000,3572998,1,1,1,1,129,12,0,2022-07-04T07:50:44,879,14.65865,1656910253.3136358,2022-07-04T07:50:53,862025,14.367083333333333,5448.228359095423
1656910256,903000,3585098,1,1,1,1,6,12,0,2022-07-04T07:50:56,891,14.86505,1656910264.013532,2022-07-04T07:51:04,874125,14.56875,5512.101134317333
1656910269,676000,3597998,1,1,1,1,148,12,0,2022-07-04T07:51:09,904,15.077933333333334,1656910277.826629,2022-07-04T07:51:17,887025,14.78375,5590.014163210594
1656910280,926000,3609198,1,1,1,1,15,12,0,2022-07-04T07:51:20,915,15.265433333333334,1656910288.623028,2022-07-04T07:51:28,898225,14.970416666666667,5661.632596322093
1656910293,599000,3621698,1,1,1,1,153,12,0,2022-07-04T07:51:33,928,15.476650000000001,1656910302.4739158,2022-07-04T07:51:42,910725,15.17875,5733.450159558765
1656910305,475000,3633698,1,1,1,1,29,12,0,2022-07-04T07:51:45,940,15.674583333333334,1656910313.203505,2022-07-04T07:51:53,922725,15.37875,5800.798945419721
1656910311,551000,3639698,1,1,1,1,95,12,0,2022-07-04T07:51:51,946,15.77585,1656910323.182837,2022-07-04T07:52:03,928725,15.47875,5834.382817179256
1656910328,7000,3655998,1,1,1,1,18,12,0,2022-07-04T07:52:08,963,16.050116666666664,1656910337.2020319,2022-07-04T07:52:17,945025,15.750416666666666,5948.4671643158645
1656910361,915000,3690098,1,1,1,1,137,12,0,2022-07-04T07:52:41,996,16.61525,1656910371.002528,2022-07-04T07:52:51,979125,16.31875,6157.627102436266
1656910373,132000,3700898,1,1,1,1,0,12,0,2022-07-04T07:52:53,1008,16.8022,1656910381.176357,2022-07-04T07:53:01,989925,16.498749999999998,6228.159824922527
