time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656910167,277900,3512594,15.929095268249512,84,13,0,2022-07-04T07:49:27,802,13.371298333333334,1656910177.146613,2022-07-04T07:49:37,801621,13.36035,4937.293897182795
1656910175,247900,3520564,15.915047645568848,127,13,0,2022-07-04T07:49:35,810,13.504131666666666,1656910185.275364,2022-07-04T07:49:45,809591,13.493183333333333,4986.757037440801
1656910191,400900,3536717,15.872909545898438,217,13,0,2022-07-04T07:49:51,826,13.773348333333333,1656910198.1160529,2022-07-04T07:49:58,825744,13.762400000000001,5088.524054409759
1656910199,181300,3544497,15.929095268249512,4,13,0,2022-07-04T07:49:59,834,13.903021666666666,1656910206.7152328,2022-07-04T07:50:06,833524,13.892066666666667,5133.078148123215
1656910216,6200,3561322,15.844815254211426,102,13,0,2022-07-04T07:50:16,851,14.183436666666667,1656910222.445333,2022-07-04T07:50:22,850349,14.172483333333334,5242.694965436961
1656910222,294600,3567824,15.844815254211426,137,13,0,2022-07-04T07:50:22,857,14.288243333333332,1656910230.195184,2022-07-04T07:50:30,856851,14.28085,5281.438903287094
1656910228,371400,3573687,15.844815254211426,174,13,0,2022-07-04T07:50:28,863,14.389523333333333,1656910239.075768,2022-07-04T07:50:39,862714,14.378566666666668,5323.341870548509
1656910237,619000,3583934,15.788627624511719,227,13,0,2022-07-04T07:50:37,872,14.543650000000001,1656910246.7421439,2022-07-04T07:50:46,872961,14.54935,5413.814982265194
1656910246,563100,3592878,15.816722869873047,24,13,0,2022-07-04T07:50:46,881,14.692718333333334,1656910254.4049928,2022-07-04T07:50:54,881905,14.698416666666667,5458.423197295229
1656910254,654100,3600969,15.76053524017334,67,13,0,2022-07-04T07:50:54,889,14.827568333333334,1656910262.8852198,2022-07-04T07:51:02,889996,14.833266666666667,5498.983811806024
1656910262,339800,3608519,15.774580955505371,112,13,0,2022-07-04T07:51:02,897,14.955663333333332,1656910270.694108,2022-07-04T07:51:10,897546,14.959100000000001,5544.01448254862
1656910271,102100,3617691,15.80267333984375,165,13,0,2022-07-04T07:51:11,906,15.101701666666665,1656910278.993872,2022-07-04T07:51:18,906718,15.111966666666666,5599.3409149971685
1656910279,74700,3625521,15.732440948486328,210,13,0,2022-07-04T07:51:19,914,15.234578333333333,1656910287.433965,2022-07-04T07:51:27,914548,15.242466666666667,5651.1040283322345
1656910286,513300,3632932,15.80267333984375,253,13,0,2022-07-04T07:51:26,921,15.358554999999999,1656910295.1237319,2022-07-04T07:51:35,921959,15.365983333333332,5693.391125464003
1656910294,258500,3640573,15.844815254211426,42,13,0,2022-07-04T07:51:34,929,15.487641666666667,1656910303.682785,2022-07-04T07:51:43,929600,15.493333333333334,5737.187702074846
1656910303,673600,3649988,15.872909545898438,96,13,0,2022-07-04T07:51:43,938,15.64456,1656910311.9125478,2022-07-04T07:51:51,939015,15.65025,5790.5828090348
1656910309,523600,3655838,15.886955261230469,130,13,0,2022-07-04T07:51:49,944,15.74206,1656910319.6524918,2022-07-04T07:51:59,944865,15.74775,5823.302970067539
1656910314,531700,3660846,15.830767631530762,157,13,0,2022-07-04T07:51:54,949,15.825528333333333,1656910328.142464,2022-07-04T07:52:08,949873,15.831216666666668,5855.390510491146
1656910326,747700,3673062,15.746485710144043,229,13,0,2022-07-04T07:52:06,961,16.029128333333333,1656910336.5160198,2022-07-04T07:52:16,962089,16.034816666666668,5940.240459205762
1656910334,174800,3680821,15.718393325805664,18,13,0,2022-07-04T07:52:14,969,16.152913333333334,1656910344.181972,2022-07-04T07:52:24,969848,16.164133333333332,5988.361291761951
1656910349,653100,3696091,15.732440948486328,106,13,0,2022-07-04T07:52:29,984,16.410885,1656910360.421553,2022-07-04T07:52:40,985118,16.418633333333336,6084.892281899934
1656910351,949100,3698263,15.746485710144043,114,13,0,2022-07-04T07:52:31,986,16.44915166666667,1656910364.3554208,2022-07-04T07:52:44,987290,16.454833333333333,6099.028972738655
1656910363,619100,3709933,15.774580955505371,177,13,0,2022-07-04T07:52:43,998,16.643651666666667,1656910372.1815329,2022-07-04T07:52:52,998960,16.649333333333335,6167.76317243369
1656910371,687400,3718001,15.746485710144043,220,13,0,2022-07-04T07:52:51,1006,16.778123333333333,1656910380.473345,2022-07-04T07:53:00,1007028,16.7838,6220.349488844686
1656910379,106400,3725544,15.774580955505371,9,13,0,2022-07-04T07:52:59,1014,16.901773333333335,1656910388.292872,2022-07-04T07:53:08,1014571,16.90951666666667,6260.739465502528
1656910387,102500,3733416,15.774580955505371,54,13,0,2022-07-04T07:53:07,1022,17.035041666666665,1656910396.503772,2022-07-04T07:53:16,1022443,17.040716666666665,6308.380078311062
1656910396,409300,3742871,15.774580955505371,107,13,0,2022-07-04T07:53:16,1031,17.190155,1656910404.720772,2022-07-04T07:53:24,1031898,17.1983,6363.520437972025
1656910400,127500,3746441,15.774580955505371,134,13,0,2022-07-04T07:53:20,1035,17.252125,1656910412.2330198,2022-07-04T07:53:32,1035468,17.2578,6385.5908914918045
1656910409,698300,3756216,15.788627624511719,187,13,0,2022-07-04T07:53:29,1044,17.411638333333332,1656910420.4019969,2022-07-04T07:53:40,1045243,17.420716666666667,6442.373430875312
1656910419,447400,3765955,15.76053524017334,240,13,0,2022-07-04T07:53:39,1054,17.574123333333333,1656910428.1816719,2022-07-04T07:53:48,1054982,17.583033333333333,6502.928172469112
1656910426,683900,3773111,15.690299034118652,27,13,0,2022-07-04T07:53:46,1061,17.694731666666666,1656910435.870472,2022-07-04T07:53:55,1062138,17.702299999999997,6552.608855093833
1656910435,534400,3782082,15.676253318786621,81,13,0,2022-07-04T07:53:55,1070,17.84224,1656910444.18014,2022-07-04T07:54:04,1071109,17.851816666666664,6607.0457025386495
1656910443,480100,3789793,15.676253318786621,126,13,0,2022-07-04T07:54:03,1078,17.974668333333334,1656910452.450913,2022-07-04T07:54:12,1078820,17.98033333333333,6654.67159041272
1656910450,732100,3797199,15.648160934448242,171,13,0,2022-07-04T07:54:10,1085,18.095534999999998,1656910460.260149,2022-07-04T07:54:20,1086226,18.10376666666667,6703.9028043449935
1656910458,290300,3804603,15.662205696105957,214,13,0,2022-07-04T07:54:18,1093,18.221504999999997,1656910468.269901,2022-07-04T07:54:28,1093630,18.22716666666667,6748.519034236845
1656910466,325300,3812638,15.634113311767578,3,13,0,2022-07-04T07:54:26,1101,18.355421666666665,1656910476.761965,2022-07-04T07:54:36,1101665,18.361083333333333,6798.648495367088
1656910473,772300,3820085,15.648160934448242,48,13,0,2022-07-04T07:54:33,1108,18.479538333333334,1656910484.4816048,2022-07-04T07:54:44,1109112,18.485200000000003,6842.691363799003
1656910481,923500,3828236,15.634113311767578,91,13,0,2022-07-04T07:54:41,1116,18.615391666666667,1656910492.560596,2022-07-04T07:54:52,1117263,18.62105,6895.638626511797
1656910485,255600,3831742,15.620065689086914,109,13,0,2022-07-04T07:54:45,1120,18.670926666666666,1656910500.869225,2022-07-04T07:55:00,1120769,18.679483333333334,6916.82776326548
1656910496,495600,3842808,15.662205696105957,170,13,0,2022-07-04T07:54:56,1131,18.858259999999998,1656910505.7605128,2022-07-04T07:55:05,1131835,18.863916666666668,6977.196039476862
1656910504,463700,3850776,15.648160934448242,215,13,0,2022-07-04T07:55:04,1139,18.991061666666667,1656910513.440697,2022-07-04T07:55:13,1139803,18.996716666666668,7026.459123691291
1656910513,443800,3859756,15.648160934448242,13,13,0,2022-07-04T07:55:13,1148,19.14073,1656910522.419124,2022-07-04T07:55:22,1148783,19.146383333333333,7079.110386826388
1656910519,890800,3866203,15.648160934448242,47,13,0,2022-07-04T07:55:19,1154,19.248179999999998,1656910530.180729,2022-07-04T07:55:30,1155230,19.253833333333333,7117.822149259792
