time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656911245,856000,4591578,4063,3784,3455,3,0.06879399716854095,3930,358,137,2,0.38626426458358765,4056,3327,2874,3,0.0029989108443260193,122,13,0,2022-07-04T08:07:25,1880,31.3476,1656911254.7461798,2022-07-04T08:07:34,1880605,31.343416666666666,11785.691778133487
1656911260,66000,4605374,4065,3788,3459,3,0.06836134940385818,3935,361,137,2,0.38972461223602295,4060,3332,2880,3,0.002960363868623972,202,13,0,2022-07-04T08:07:40,1895,31.584433333333333,1656911270.3561878,2022-07-04T08:07:50,1894401,31.57335,11874.843112998347
1656911268,63100,4613371,4065,3788,3459,3,0.06836134940385818,3935,361,138,2,0.38972461223602295,4060,3338,2887,3,0.002915880875661969,247,13,0,2022-07-04T08:07:48,1903,31.717718333333334,1656911278.767364,2022-07-04T08:07:58,1902398,31.706633333333333,11923.72399975103
1656911276,959200,4622267,4063,3788,3459,3,0.06836134940385818,3936,362,138,2,0.3908790946006775,4060,3341,2890,3,0.002896976890042424,44,13,0,2022-07-04T08:07:56,1911,31.865986666666668,1656911283.3059049,2022-07-04T08:08:03,1911294,31.8549,11980.124687388243
1656911286,56300,4631364,4065,3787,3463,3,0.0679292231798172,3937,367,139,2,0.39665961265563965,4056,3345,2898,3,0.0028470309916883707,98,13,0,2022-07-04T08:08:06,1921,32.017604999999996,1656911291.7875838,2022-07-04T08:08:11,1920391,32.00651666666667,12037.855302741413
1656911292,615400,4637923,4065,3784,3458,3,0.06846947222948074,3937,366,138,2,0.3955024480819702,4056,3345,2899,3,0.002840835601091385,132,13,0,2022-07-04T08:08:12,1927,32.12692333333333,1656911300.205693,2022-07-04T08:08:20,1926950,32.115833333333335,12077.66323005299
1656911308,938500,4654590,4064,3788,3459,3,0.06836134940385818,3938,368,140,2,0.39781731367111206,4059,3350,2905,3,0.00280387862585485,231,13,0,2022-07-04T08:08:28,1943,32.398975,1656911316.805976,2022-07-04T08:08:36,1943617,32.39361666666667,12171.334374065862
1656911326,105500,4671413,4065,3789,3461,3,0.06814522296190262,3938,370,141,2,0.4001343250274658,4057,3356,2910,3,0.00277336617000401,72,13,0,2022-07-04T08:08:46,1961,32.685091666666665,1656911333.265213,2022-07-04T08:08:53,1960440,32.674,12281.37285036897
1656911331,44300,4676352,4065,3792,3467,3,0.0674976035952568,3939,373,140,2,0.4036138653755188,4057,3362,2921,3,0.002707140753045678,98,13,0,2022-07-04T08:08:51,1966,32.767405000000004,1656911341.510181,2022-07-04T08:09:01,1965379,32.75631666666666,12309.864826102821
1656911342,557700,4687865,4065,3790,3463,3,0.0679292231798172,3939,372,141,2,0.4024534821510315,4060,3361,2920,3,0.0027131102979183197,169,13,0,2022-07-04T08:09:02,1977,32.959295000000004,1656911350.0056288,2022-07-04T08:09:10,1976892,32.9482,12372.105263570262
1656911350,485800,4695793,4064,3790,3463,3,0.0679292231798172,3937,373,141,2,0.4036138653755188,4057,3362,2921,3,0.002707140753045678,214,13,0,2022-07-04T08:09:10,1985,33.091429999999995,1656911357.564904,2022-07-04T08:09:17,1984820,33.080333333333336,12412.494877551435
1656911358,650800,4703958,4065,3790,3464,3,0.06782127171754837,3940,375,142,2,0.40593618154525757,4059,3366,2926,3,0.0026774436701089144,2,13,0,2022-07-04T08:09:18,1993,33.227513333333334,1656911365.764029,2022-07-04T08:09:25,1992985,33.21641666666667,12470.31503872702
1656911365,795900,4711438,4063,3788,3463,3,0.0679292231798172,3938,375,141,2,0.40593618154525757,4057,3368,2930,3,0.002653866307809949,46,13,0,2022-07-04T08:09:25,2000,33.34659833333333,1656911374.105264,2022-07-04T08:09:34,2000465,33.34108333333333,12520.682219152566
1656911380,597000,4726019,4072,3806,3488,3,0.065239816904068,3950,374,143,2,0.4047747254371643,4068,3387,2957,3,0.002498842775821686,135,13,0,2022-07-04T08:09:40,2015,33.59328333333333,1656911390.15362,2022-07-04T08:09:50,2015046,33.5841,12610.1099987766
1656911389,272300,4734794,4065,3795,3472,3,0.06695879995822906,3942,380,143,2,0.4117515981197357,4060,3378,2946,3,0.0025611422024667263,188,13,0,2022-07-04T08:09:49,2024,33.73787166666667,1656911399.055477,2022-07-04T08:09:59,2023821,33.73035,12659.760414994107
1656911398,367000,4743819,4063,3788,3465,3,0.06771335005760193,3942,379,143,2,0.4105874001979828,4060,3377,2942,3,0.002584086963906884,241,13,0,2022-07-04T08:09:58,2033,33.88945,1656911407.11356,2022-07-04T08:10:07,2032846,33.880766666666666,12710.263646194742
1656911403,722500,4749324,4063,3789,3467,3,0.0674976035952568,3940,379,143,2,0.4105874001979828,4057,3381,2946,3,0.0025611422024667263,21,13,0,2022-07-04T08:10:03,2038,33.97870833333334,1656911414.873185,2022-07-04T08:10:14,2038351,33.97251666666667,12741.16081922397
1656911415,360500,4760962,4065,3793,3469,3,0.06728199124336243,3940,382,144,2,0.41408154368400574,4057,3382,2950,3,0.0025383527390658855,83,13,0,2022-07-04T08:10:15,2050,34.172675,1656911423.8640049,2022-07-04T08:10:23,2049989,34.16648333333333,12824.944594078344
1656911423,107300,4768415,4063,3788,3466,3,0.06760546565055847,3940,379,145,2,0.4105874001979828,4057,3382,2950,3,0.0025383527390658855,128,13,0,2022-07-04T08:10:23,2058,34.301788333333334,1656911431.7345479,2022-07-04T08:10:31,2057442,34.2907,12879.857063039899
1656911430,410400,4775718,4062,3789,3467,3,0.0674976035952568,3943,381,144,2,0.41291627287864685,4060,3384,2953,3,0.0025213616900146008,172,13,0,2022-07-04T08:10:30,2065,34.42350666666667,1656911440.443176,2022-07-04T08:10:40,2064745,34.412416666666665,12925.798519147282
1656911440,191600,4785499,4063,3789,3468,3,0.06738977879285812,3940,381,146,2,0.41291627287864685,4057,3385,2955,3,0.00251008290797472,225,13,0,2022-07-04T08:10:40,2075,34.58652666666667,1656911448.783433,2022-07-04T08:10:48,2074526,34.57543333333333,12982.47647445258
1656911446,30600,4791338,4063,3791,3471,3,0.067066490650177,3944,383,145,2,0.4152472913265228,4057,3388,2959,3,0.0024876396637409925,5,13,0,2022-07-04T08:10:46,2081,34.683843333333336,1656911456.58376,2022-07-04T08:10:56,2080365,34.67274999999999,13018.53055974404
1656911453,660700,4798968,4063,3793,3469,3,0.06728199124336243,3943,382,146,2,0.41408154368400574,4060,3388,2960,3,0.0024820531252771616,49,13,0,2022-07-04T08:10:53,2088,34.811011666666666,1656911464.253316,2022-07-04T08:11:04,2087995,34.79991666666667,13067.650170806433
