time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656912427,718937,5772893,0.234375,6.519999980926514,108,10,2,2022-07-04T08:27:07,3062,51.04531561666667,1656912437.4866118,2022-07-04T08:27:17,3061920,51.032000000000004,18288.10781973289
1656912442,968955,5788143,0.25726318359375,6.783999919891357,234,10,2,2022-07-04T08:27:22,3077,51.29948258333333,1656912453.787592,2022-07-04T08:27:33,3077170,51.28616666666667,18368.433597099087
1656912474,678760,5819853,nan,nan,248,10,2,2022-07-04T08:27:54,3109,51.82797933333333,1656912483.208624,2022-07-04T08:28:03,3108880,51.81466666666667,18517.85272975816
1656912491,498988,5836673,0.25634765625,6.771999835968018,124,10,2,2022-07-04T08:28:11,3126,52.108316466666665,1656912499.618656,2022-07-04T08:28:19,3125700,52.095,18591.221782078504
1656912507,476560,5852794,0.2545166015625,6.763999938964844,0,10,2,2022-07-04T08:28:27,3142,52.37460933333333,1656912515.519141,2022-07-04T08:28:35,3141821,52.363683333333334,18663.789126944645
1656912522,490229,5867807,nan,nan,132,10,2,2022-07-04T08:28:42,3157,52.62483715,1656912531.8089168,2022-07-04T08:28:51,3156834,52.613899999999994,18735.78100940279
1656912539,15522,5884333,nan,nan,8,10,2,2022-07-04T08:28:59,3174,52.9002587,1656912547.96994,2022-07-04T08:29:07,3173360,52.88933333333333,18817.1471041839
1656912555,850913,5901168,nan,nan,144,10,2,2022-07-04T08:29:15,3190,53.18084855,1656912564.6206279,2022-07-04T08:29:24,3190195,53.16991666666667,18894.313293760802
1656912586,537068,5931854,nan,nan,142,10,2,2022-07-04T08:29:46,3221,53.69228446666667,1656912596.1904209,2022-07-04T08:29:56,3220881,53.681349999999995,19036.657849142513
1656912595,670800,5946753,0.25360107421875,6.751999855041504,12,10,2,2022-07-04T08:29:55,3230,53.84451333333333,1656912612.6212769,2022-07-04T08:30:12,3235780,53.92966666666667,19079.067739545415
1656912617,101063,5962183,0.25360107421875,6.748000144958496,138,10,2,2022-07-04T08:30:17,3252,54.20168438333334,1656912625.152169,2022-07-04T08:30:25,3251210,54.18683333333333,19176.692324128322
1656912633,880476,5978963,nan,nan,24,10,2,2022-07-04T08:30:33,3268,54.48134126666666,1656912641.1721568,2022-07-04T08:30:41,3267990,54.466499999999996,19261.733031073964
1656912647,870294,5993953,nan,nan,150,10,2,2022-07-04T08:30:47,3282,54.714504899999994,1656912657.9167569,2022-07-04T08:30:57,3282980,54.71633333333333,19329.073652624927
