time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656911984,56900,5330363,-0.1395296918617305,30000.0,34.02126139855723,9177.1826171875,55,13,2,2022-07-04T08:19:44,2619,43.65094833333333,1656911997.52434,2022-07-04T08:19:57,2619390,43.6565,15899.218942972811
1656911995,781000,5342087,-0.16475357179551792,30000.0,33.98628583986622,9177.1826171875,118,13,2,2022-07-04T08:19:55,2630,43.84635,1656912005.9626038,2022-07-04T08:20:05,2631114,43.8519,15958.790376354784
1656912009,312200,5354842,-0.20306831255111318,30000.0,33.92634649523976,9177.1826171875,188,13,2,2022-07-04T08:20:09,2644,44.07187,1656912022.182229,2022-07-04T08:20:22,2643869,44.064483333333335,16019.974028189356
1656912019,947200,5365477,-0.22925004265189272,30000.0,33.901353339424055,9177.1826171875,251,13,2,2022-07-04T08:20:19,2654,44.24912,1656912030.6229968,2022-07-04T08:20:30,2654504,44.24173333333333,16067.480915383125
1656912029,426600,5374956,-0.2528774510588846,30000.0,33.826494891887045,9177.1826171875,49,13,2,2022-07-04T08:20:29,2664,44.407109999999996,1656912038.282873,2022-07-04T08:20:38,2663983,44.39971666666667,16110.654646790952
1656912037,186400,5382716,-1.3904978707963664,30000.0,33.82408939767012,9177.1826171875,92,13,2,2022-07-04T08:20:37,2672,44.53644,1656912046.6875439,2022-07-04T08:20:46,2671743,44.52905,16144.614942790553
1656912051,652500,5397182,-0.30556016360421834,30000.0,33.74161865318008,9177.1826171875,171,13,2,2022-07-04T08:20:51,2686,44.77754166666667,1656912062.922349,2022-07-04T08:21:02,2686209,44.770149999999994,16206.35640609541
1656912060,681500,5406211,-0.3279103959393751,30000.0,33.761526475821576,9177.1826171875,225,13,2,2022-07-04T08:21:00,2695,44.928025000000005,1656912071.622233,2022-07-04T08:21:11,2695238,44.92063333333333,16244.89163112304
1656912069,622700,5415152,-0.3544113784896581,30000.0,33.68668472348674,9177.1826171875,22,13,2,2022-07-04T08:21:09,2704,45.077045,1656912076.2218728,2022-07-04T08:21:16,2704179,45.06965,16284.69568540376
1656912072,704700,5418568,-0.3489834670388291,30000.0,33.68170710999669,9177.1826171875,40,13,2,2022-07-04T08:21:12,2707,45.128411666666665,1656912084.570937,2022-07-04T08:21:24,2707595,45.12658333333333,16300.43604108445
1656912085,529700,5431059,-0.3882559954188764,30000.0,33.61184006520405,9177.1826171875,112,13,2,2022-07-04T08:21:25,2720,45.34216166666667,1656912093.1216838,2022-07-04T08:21:33,2720086,45.33476666666666,16357.66489704696
1656912093,536900,5439066,-0.3920874606814323,30000.0,33.61682042200548,9177.1826171875,155,13,2,2022-07-04T08:21:33,2728,45.475615,1656912100.8118799,2022-07-04T08:21:40,2728093,45.46821666666666,16393.16180406964
1656912102,422000,5447951,-0.4051782990932907,30000.0,33.56694245554133,9177.1826171875,208,13,2,2022-07-04T08:21:42,2737,45.6237,1656912109.110632,2022-07-04T08:21:49,2736978,45.6163,16433.224531009077
1656912110,68100,5455649,-0.41667269222068626,30000.0,33.512082860022716,9177.1826171875,253,13,2,2022-07-04T08:21:50,2745,45.751135,1656912117.51054,2022-07-04T08:21:57,2744676,45.7446,16475.161419036667
1656912118,208200,5463789,-0.4160341148633734,30000.0,33.45723855416142,9177.1826171875,42,13,2,2022-07-04T08:21:58,2753,45.88680333333333,1656912125.2003639,2022-07-04T08:22:05,2752816,45.880266666666664,16513.4797121442
1656912134,925300,5480506,-0.46520455807055894,30000.0,33.40234518971356,9177.1826171875,138,13,2,2022-07-04T08:22:14,2769,46.16542166666667,1656912141.9098608,2022-07-04T08:22:21,2769533,46.15888333333333,16594.910766032506
1656912141,477300,5487058,-1.463614154093375,30000.0,33.36139579050743,9177.1826171875,175,13,2,2022-07-04T08:22:21,2776,46.27462166666667,1656912149.600196,2022-07-04T08:22:29,2776085,46.26808333333334,16627.914675727603
