time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656910294,262300,3640576,0,2,1122784,2,1132839,2,1122784,2,1132791,44,13,0,2022-07-04T07:51:34,929,15.487705,1656910303.1237009,2022-07-04T07:51:43,929603,15.493383333333332,5737.209252712274
1656910306,574400,3652888,0,2,1122784,2,1132839,2,1122784,2,1132791,116,13,0,2022-07-04T07:51:46,941,15.692906666666666,1656910313.782752,2022-07-04T07:51:53,941915,15.698583333333334,5807.033885100847
1656910311,435500,3657749,0,2,1122784,2,1132839,2,1122784,2,1132791,143,13,0,2022-07-04T07:51:51,946,15.773925,1656910326.90338,2022-07-04T07:52:06,946776,15.779599999999999,5833.568784040221
1656910328,776600,3675091,0,2,1122784,2,1132839,2,1122784,2,1132791,240,13,0,2022-07-04T07:52:08,963,16.062943333333333,1656910337.745281,2022-07-04T07:52:17,964118,16.068633333333334,5953.49477668205
1656910351,953000,3698267,0,2,1122784,2,1132839,2,1122784,2,1132791,117,13,0,2022-07-04T07:52:31,986,16.449216666666665,1656910361.463728,2022-07-04T07:52:41,987294,16.4549,6099.052985410375
1656910362,5000,3708319,0,2,1122784,2,1132839,2,1122784,2,1132791,170,13,0,2022-07-04T07:52:42,997,16.61675,1656910371.6113448,2022-07-04T07:52:51,997346,16.622433333333333,6158.1523645662
1656910373,873200,3720186,0,2,1122784,2,1132839,2,1122784,2,1132791,241,13,0,2022-07-04T07:52:53,1008,16.814553333333333,1656910385.48114,2022-07-04T07:53:05,1009213,16.820216666666667,6232.167177200595
1656910384,778400,3731092,0,2,1122784,2,1132839,2,1122784,2,1132791,47,13,0,2022-07-04T07:53:04,1019,16.996306666666666,1656910395.371161,2022-07-04T07:53:15,1020119,17.001983333333335,6294.539750705009
1656910397,686300,3743999,0,2,1122784,2,1132839,2,1122784,2,1132791,118,13,0,2022-07-04T07:53:17,1032,17.211438333333334,1656910405.771932,2022-07-04T07:53:25,1033026,17.217100000000002,6371.101272300786
1656910409,702100,3756219,0,2,1122784,2,1132839,2,1122784,2,1132791,189,13,0,2022-07-04T07:53:29,1044,17.411701666666666,1656910419.2717729,2022-07-04T07:53:39,1045246,17.42076666666667,6442.396889469309
1656910422,491700,3768805,0,2,1122784,2,1132839,2,1122784,2,1132791,4,13,0,2022-07-04T07:53:42,1057,17.624861666666668,1656910429.882665,2022-07-04T07:53:49,1057832,17.630533333333336,6523.94092494657
1656910433,758200,3780305,0,2,1122784,2,1132839,2,1122784,2,1132791,74,13,0,2022-07-04T07:53:53,1068,17.812636666666666,1656910443.520681,2022-07-04T07:54:03,1069332,17.822200000000002,6596.540426219127
1656910446,712900,3793025,0,2,1122784,2,1132839,2,1122784,2,1132791,146,13,0,2022-07-04T07:54:06,1081,18.028548333333333,1656910454.261261,2022-07-04T07:54:14,1082052,18.0342,6676.740290506613
1656910458,294200,3804607,0,2,1122784,2,1132839,2,1122784,2,1132791,217,13,0,2022-07-04T07:54:18,1093,18.22157,1656910467.729817,2022-07-04T07:54:27,1093634,18.227233333333334,6748.54345737785
1656910468,215200,3814528,0,2,1122784,2,1132839,2,1122784,2,1132791,14,13,0,2022-07-04T07:54:28,1103,18.38692,1656910478.520352,2022-07-04T07:54:38,1103555,18.392583333333334,6809.78828191463
1656910488,244400,3834730,0,2,1122784,2,1132839,2,1122784,2,1132791,129,13,0,2022-07-04T07:54:48,1123,18.72074,1656910502.092753,2022-07-04T07:55:02,1123757,18.729283333333335,6932.792256474177
1656910502,860500,3849172,0,2,1122784,2,1132839,2,1122784,2,1132791,209,13,0,2022-07-04T07:55:02,1137,18.964341666666666,1656910512.8704329,2022-07-04T07:55:12,1138199,18.969983333333335,7016.6126303889305
1656910515,914600,3862226,0,2,1122784,2,1132839,2,1122784,2,1132791,33,13,0,2022-07-04T07:55:15,1150,19.181910000000002,1656910526.678937,2022-07-04T07:55:26,1151253,19.187549999999998,7093.945296072724
