time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909831,640555,3177003,0,0,271,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,61,10,0,2022-07-04T07:43:51,466,7.777342583333334,1656909839.4424798,2022-07-04T07:43:59,466030,7.767166666666666,2933.3383929112747
1656909837,931963,3189003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,97,10,0,2022-07-04T07:43:57,472,7.882199383333333,1656909853.786152,2022-07-04T07:44:13,478030,7.9671666666666665,2996.3946092496967
1656909855,932032,3201003,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,133,10,0,2022-07-04T07:44:15,490,8.182200533333333,1656909863.982797,2022-07-04T07:44:23,490030,8.167166666666667,3070.315455414185
1656909867,932021,3213003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,169,10,0,2022-07-04T07:44:27,502,8.38220035,1656909874.593513,2022-07-04T07:44:34,502030,8.367166666666666,3134.919591323935
1656909878,931991,3224003,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,202,10,0,2022-07-04T07:44:38,513,8.565533183333335,1656909888.1231449,2022-07-04T07:44:48,513030,8.5505,3204.579378687421
1656909891,932014,3237003,0,0,453,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,241,10,0,2022-07-04T07:44:51,526,8.782200233333333,1656909898.516232,2022-07-04T07:44:58,526030,8.767166666666666,3285.604028046708
1656909903,941782,3249013,0,0,62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,21,10,0,2022-07-04T07:45:03,538,8.982363033333334,1656909911.637104,2022-07-04T07:45:11,538040,8.967333333333332,3361.4588800690126
1656909914,931602,3260003,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,54,10,0,2022-07-04T07:45:14,549,9.1655267,1656909922.123836,2022-07-04T07:45:22,549030,9.1505,3426.3710051704784
1656909936,932306,3282003,0,0,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,120,10,0,2022-07-04T07:45:36,571,9.5322051,1656909946.084013,2022-07-04T07:45:46,571030,9.517166666666666,3551.317660943141
1656909947,934279,3293005,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,153,10,0,2022-07-04T07:45:47,582,9.715571316666665,1656909956.535389,2022-07-04T07:45:56,582032,9.700533333333334,3619.912721251086
