time_s,time_us,cookie,snr,frame_no,tap_bytes,rssi_bytes,crc_bytes,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908582,5459883,190,33,2109,00000000000000000000000000,2100c890e0,271c,2022-07-04T07:23:07,1656908582.548383,2022-07-04T07:23:02
1656908583,6700847,191,35,2111,00000000000000000000000000,2300c890e0,0525,2022-07-04T07:23:09,1656908583.671943,2022-07-04T07:23:03
1656908584,2595057,192,37,2112,00000000000000000000000000,2500c890e0,edf3,2022-07-04T07:23:06,1656908584.264183,2022-07-04T07:23:04
1656908584,8701112,193,38,2113,00000000000000000000000000,2600c890e0,4830,2022-07-04T07:23:12,1656908584.872162,2022-07-04T07:23:04
1656908588,5307993,194,32,2114,00000000000000000000000000,2000c890e0,89cc,2022-07-04T07:23:13,1656908588.532906,2022-07-04T07:23:08
1656908589,554933,195,27,2115,00000000000000000000000000,1b00c890e0,b63e,2022-07-04T07:23:09,1656908589.058492,2022-07-04T07:23:09
1656908589,7084131,196,26,2116,00000000000000000000000000,1a00c890e0,c266,2022-07-04T07:23:16,1656908589.710282,2022-07-04T07:23:09
1656908590,1862683,197,33,2117,00000000000000000000000000,2100c890e0,34d4,2022-07-04T07:23:11,1656908590.188395,2022-07-04T07:23:10
1656908590,8049290,198,35,2118,00000000000000000000000000,2300c890e0,c28a,2022-07-04T07:23:18,1656908590.807467,2022-07-04T07:23:10
1656908592,518538,199,35,2120,00000000000000000000000000,2300c890e0,78bc,2022-07-04T07:23:12,1656908592.05393,2022-07-04T07:23:12
1656908592,5929818,200,33,2121,00000000000000000000000000,2100c890e0,ca01,2022-07-04T07:23:17,1656908592.595151,2022-07-04T07:23:12
1656908593,1241514,201,33,2122,00000000000000000000000000,2100c890e0,4179,2022-07-04T07:23:14,1656908593.126321,2022-07-04T07:23:13
1656908596,8924653,202,36,2123,00000000000000000000000000,2400c890e0,1ecf,2022-07-04T07:23:24,1656908596.89443,2022-07-04T07:23:16
1656908597,4890043,203,33,2124,00000000000000000000000000,2100c890e0,d18b,2022-07-04T07:23:21,1656908597.491112,2022-07-04T07:23:17
1656908598,1337122,204,38,2125,00000000000000000000000000,2600c890e0,273a,2022-07-04T07:23:19,1656908598.135758,2022-07-04T07:23:18
1656908598,7087051,205,36,2126,00000000000000000000000000,2400c890e0,93d8,2022-07-04T07:23:25,1656908598.711111,2022-07-04T07:23:18
1656908599,2336480,206,28,2127,00000000000000000000000000,1c00c890e0,2986,2022-07-04T07:23:21,1656908599.235935,2022-07-04T07:23:19
1656908599,7908351,207,37,2128,00000000000000000000000000,2500c890e0,fe2e,2022-07-04T07:23:26,1656908599.792995,2022-07-04T07:23:19
1656908600,4110460,208,37,2129,00000000000000000000000000,2500c890e0,2d59,2022-07-04T07:23:24,1656908600.413176,2022-07-04T07:23:20
1656908600,9209861,209,37,2130,00000000000000000000000000,2500c890e0,86cd,2022-07-04T07:23:29,1656908600.923091,2022-07-04T07:23:20
1656908601,4709830,210,37,2131,00000000000000000000000000,2500c890e0,eda6,2022-07-04T07:23:25,1656908601.473803,2022-07-04T07:23:21
1656908605,998167,211,36,2132,00000000000000000000000000,2400c890e0,244b,2022-07-04T07:23:25,1656908605.101806,2022-07-04T07:23:25
1656908605,6561210,212,38,2133,00000000000000000000000000,2600c890e0,063c,2022-07-04T07:23:31,1656908605.658088,2022-07-04T07:23:25
1656908606,1515009,213,38,2134,00000000000000000000000000,2600c890e0,53e4,2022-07-04T07:23:27,1656908606.153607,2022-07-04T07:23:26
1656908606,6892931,214,38,2135,00000000000000000000000000,2600c890e0,d962,2022-07-04T07:23:32,1656908606.691576,2022-07-04T07:23:26
1656908607,2234838,215,38,2136,00000000000000000000000000,2600c890e0,322d,2022-07-04T07:23:29,1656908607.22548,2022-07-04T07:23:27
1656908607,8483340,216,35,2137,00000000000000000000000000,2300c890e0,b420,2022-07-04T07:23:35,1656908607.8504,2022-07-04T07:23:27
1656908608,5520110,217,33,2138,00000000000000000000000000,2100c890e0,19c3,2022-07-04T07:23:33,1656908608.554075,2022-07-04T07:23:28
1656908609,545523,218,37,2139,00000000000000000000000000,2500c890e0,ab2d,2022-07-04T07:23:29,1656908609.056718,2022-07-04T07:23:29
1656908609,6771574,219,29,2140,00000000000000000000000000,1d00c890e0,6215,2022-07-04T07:23:35,1656908609.679134,2022-07-04T07:23:29
1656908613,2435600,220,30,2141,00000000000000000000000000,1e00c890e0,ee1f,2022-07-04T07:23:35,1656908613.24574,2022-07-04T07:23:33
1656908613,7719187,221,38,2142,00000000000000000000000000,2600c890e0,1ac9,2022-07-04T07:23:40,1656908613.773949,2022-07-04T07:23:33
1656908614,4590804,222,28,2143,00000000000000000000000000,1c00c890e0,d852,2022-07-04T07:23:38,1656908614.461191,2022-07-04T07:23:34
1656908615,55494,223,37,2144,00000000000000000000000000,2500c890e0,585e,2022-07-04T07:23:35,1656908615.007696,2022-07-04T07:23:35
1656908615,4972379,224,37,2145,00000000000000000000000000,2500c890e0,2d01,2022-07-04T07:23:39,1656908615.499275,2022-07-04T07:23:35
1656908616,194690,225,37,2146,00000000000000000000000000,2500c890e0,61d6,2022-07-04T07:23:36,1656908616.021458,2022-07-04T07:23:36
1656908616,6243975,226,37,2147,00000000000000000000000000,2500c890e0,7883,2022-07-04T07:23:42,1656908616.626675,2022-07-04T07:23:36
1656908617,1511652,227,37,2148,00000000000000000000000000,2500c890e0,ddae,2022-07-04T07:23:38,1656908617.153305,2022-07-04T07:23:37
