time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908498,232122,True,1844,2017,-21,12,-22,2022-07-04T07:21:38,1656908498.234052,2022-07-04T07:21:38
1656908498,841789,True,1845,2018,-21,11,-21,2022-07-04T07:21:38,1656908498.843737,2022-07-04T07:21:38
1656908499,434245,True,1846,2019,-20,12,-20,2022-07-04T07:21:39,1656908499.437439,2022-07-04T07:21:39
1656908500,61742,True,1847,2020,-22,12,-23,2022-07-04T07:21:40,1656908500.063229,2022-07-04T07:21:40
1656908500,662658,True,1848,2021,-22,13,-23,2022-07-04T07:21:40,1656908500.666211,2022-07-04T07:21:40
1656908501,232388,True,1849,2022,-24,11,-24,2022-07-04T07:21:41,1656908501.234138,2022-07-04T07:21:41
1656908501,813075,True,1850,2023,-25,12,-25,2022-07-04T07:21:41,1656908501.814767,2022-07-04T07:21:41
1656908502,461932,True,1851,2024,-25,12,-26,2022-07-04T07:21:42,1656908502.465274,2022-07-04T07:21:42
1656908506,112084,True,1852,2025,-25,12,-26,2022-07-04T07:21:46,1656908506.115173,2022-07-04T07:21:46
1656908506,641939,True,1853,2026,-25,12,-25,2022-07-04T07:21:46,1656908506.643856,2022-07-04T07:21:46
1656908507,201669,True,1854,2027,-27,11,-27,2022-07-04T07:21:47,1656908507.203228,2022-07-04T07:21:47
1656908507,772231,True,1855,2028,-28,12,-28,2022-07-04T07:21:47,1656908507.773771,2022-07-04T07:21:47
1656908508,323078,True,1856,2029,-24,12,-25,2022-07-04T07:21:48,1656908508.324648,2022-07-04T07:21:48
1656908508,902741,True,1857,2030,-23,12,-24,2022-07-04T07:21:48,1656908508.904765,2022-07-04T07:21:48
1656908509,441953,True,1858,2031,-20,11,-21,2022-07-04T07:21:49,1656908509.443485,2022-07-04T07:21:49
1656908510,101653,True,1859,2032,-21,12,-22,2022-07-04T07:21:50,1656908510.103266,2022-07-04T07:21:50
1656908510,701881,True,1860,2033,-21,12,-21,2022-07-04T07:21:50,1656908510.703506,2022-07-04T07:21:50
1656908514,371600,True,1861,2034,-20,12,-20,2022-07-04T07:21:54,1656908514.37314,2022-07-04T07:21:54
1656908514,950692,True,1862,2035,-24,12,-24,2022-07-04T07:21:54,1656908514.952258,2022-07-04T07:21:54
1656908515,503456,True,1863,2036,-19,12,-20,2022-07-04T07:21:55,1656908515.50506,2022-07-04T07:21:55
1656908516,142647,True,1864,2037,-28,12,-28,2022-07-04T07:21:56,1656908516.146249,2022-07-04T07:21:56
1656908516,671628,True,1865,2038,-33,12,-33,2022-07-04T07:21:56,1656908516.675041,2022-07-04T07:21:56
1656908517,212797,True,1866,2039,-46,11,-46,2022-07-04T07:21:57,1656908517.21441,2022-07-04T07:21:57
1656908517,781591,True,1867,2040,-28,12,-28,2022-07-04T07:21:57,1656908517.783167,2022-07-04T07:21:57
1656908518,351980,True,1868,2041,-25,12,-26,2022-07-04T07:21:58,1656908518.35403,2022-07-04T07:21:58
1656908518,932492,True,1869,2042,-28,12,-29,2022-07-04T07:21:58,1656908518.934098,2022-07-04T07:21:58
1656908522,502032,True,1870,2043,-43,12,-44,2022-07-04T07:22:02,1656908522.503664,2022-07-04T07:22:02
1656908523,102034,True,1871,2044,-30,12,-31,2022-07-04T07:22:03,1656908523.105386,2022-07-04T07:22:03
1656908523,704278,True,1872,2045,-38,11,-39,2022-07-04T07:22:03,1656908523.705986,2022-07-04T07:22:03
1656908524,241952,True,1873,2046,-35,12,-36,2022-07-04T07:22:04,1656908524.24352,2022-07-04T07:22:04
1656908524,791481,True,1874,2047,-31,12,-31,2022-07-04T07:22:04,1656908524.793102,2022-07-04T07:22:04
1656908525,381579,True,1875,2048,-31,12,-31,2022-07-04T07:22:05,1656908525.383739,2022-07-04T07:22:05
1656908526,13488,True,1876,2049,-24,12,-24,2022-07-04T07:22:06,1656908526.016773,2022-07-04T07:22:06
