time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909263,198700,2608745,0,2,1122784,2,1132839,2,1122784,2,1132791,19,13,0,2022-07-04T07:34:23,-102,-1.6966883333333334,-102228,-1.7038,98.27359594837311,100150.00403225806
1656909264,686700,2610019,0,2,1122784,2,1132839,2,1122784,2,1132791,27,13,0,2022-07-04T07:34:24,-101,-1.6718883333333332,-100954,-1.6825666666666665,97.75804116505205,100156.14115490376
1656909265,777700,2611111,0,2,1122784,2,1132839,2,1122784,2,1132791,36,13,0,2022-07-04T07:34:25,-100,-1.653705,-99862,-1.6643666666666665,97.55773109535983,100158.52564577012
1656909267,394700,2612727,0,2,1122784,2,1132839,2,1122784,2,1132791,46,13,0,2022-07-04T07:34:27,-98,-1.626755,-98246,-1.6374333333333333,98.28508530144114,100149.8673201712
1656909269,711700,2615044,0,2,1122784,2,1132839,2,1122784,2,1132791,54,13,0,2022-07-04T07:34:29,-96,-1.5881383333333334,-95929,-1.5988166666666668,98.66587065105979,100145.33451417004
1656909271,443800,2616777,0,2,1122784,2,1132839,2,1122784,2,1132791,63,13,0,2022-07-04T07:34:31,-94,-1.5592700000000002,-94196,-1.5699333333333334,97.90969984978084,100154.33586553983
1656909272,534900,2617867,0,2,1122784,2,1132839,2,1122784,2,1132791,72,13,0,2022-07-04T07:34:32,-93,-1.541085,-93106,-1.5517666666666665,97.37925931641738,100160.6501428461
1656909273,659900,2618992,0,2,1122784,2,1132839,2,1122784,2,1132791,80,13,0,2022-07-04T07:34:33,-92,-1.5223350000000002,-91981,-1.5330166666666665,97.4550085313585,100159.74844444444
1656909275,143900,2620477,0,2,1122784,2,1132839,2,1122784,2,1132791,90,13,0,2022-07-04T07:34:35,-90,-1.4976016666666667,-90496,-1.5082666666666666,97.76795494869651,100156.0231839258
1656909276,825900,2622158,0,2,1122784,2,1132839,2,1122784,2,1132791,99,13,0,2022-07-04T07:34:36,-89,-1.4695683333333334,-88815,-1.48025,97.54477786207333,100158.67988668555
1656909278,216900,2623683,0,2,1122784,2,1132839,2,1122784,2,1132791,107,13,0,2022-07-04T07:34:38,-87,-1.446385,-87290,-1.4548333333333334,96.17571154175175,100174.97710769913
1656909280,305100,2625638,0,2,1122784,2,1132839,2,1122784,2,1132791,116,13,0,2022-07-04T07:34:40,-85,-1.4115816666666667,-85335,-1.4222499999999998,98.08827274994908,100152.21013372757
1656909281,396100,2626728,0,2,1122784,2,1132839,2,1122784,2,1132791,125,13,0,2022-07-04T07:34:41,-84,-1.3933983333333333,-84245,-1.4040833333333333,97.51788330078125,100159.0
1656909282,487100,2627819,0,2,1122784,2,1132839,2,1122784,2,1132791,134,13,0,2022-07-04T07:34:42,-83,-1.375215,-83154,-1.3859,97.65670667448171,100157.34746700096
1656909284,148100,2629481,0,2,1122784,2,1132839,2,1122784,2,1132791,143,13,0,2022-07-04T07:34:44,-81,-1.3475316666666666,-81492,-1.3582,98.41871064563047,100148.2766789635
