time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656913898,218000,7243052,27.94871711730957,3.2909998893737793,3.071941375732422,98,11,0,2022-07-04T08:51:38,4533,75.55363333333334,4532079,75.53465,25721.69485303014,2283.1641113003975
1656913899,236000,7244071,28.241758346557617,3.2909998893737793,3.078388214111328,127,11,0,2022-07-04T08:51:39,4534,75.5706,4533098,75.55163333333333,25738.32904121738,2277.3833049403747
1656913900,255000,7245090,28.53479766845703,3.2950000762939453,3.0139193534851074,156,11,0,2022-07-04T08:51:40,4535,75.58758333333334,4534117,75.56861666666667,25748.781872654003,2273.751307516013
1656913901,274000,7246109,28.53479766845703,3.2950000762939453,3.0139193534851074,185,11,0,2022-07-04T08:51:41,4536,75.60456666666667,4535136,75.58560000000001,25750.509307673026,2273.1524945642586
1656913902,294000,7247129,28.53479766845703,3.2929999828338623,3.012307643890381,214,11,0,2022-07-04T08:51:42,4537,75.62156666666667,4536156,75.6026,25756.8048046875,2270.9719999999993
1656913903,314000,7248149,28.241758346557617,3.2929999828338623,3.012307643890381,243,11,0,2022-07-04T08:51:43,4538,75.63856666666668,4537176,75.6196,25764.82512728432,2268.197525206231
1656913904,334000,7249169,28.53479766845703,3.2929999828338623,3.018754482269287,17,11,0,2022-07-04T08:51:44,4539,75.65556666666666,4538196,75.6366,25772.81434644477,2265.438084549196
1656913905,355000,7250189,28.241758346557617,3.2909998893737793,3.078388214111328,46,11,0,2022-07-04T08:51:45,4540,75.67258333333332,4539216,75.65360000000001,25780.719076825626,2262.7097429319665
1656913906,375000,7251209,28.241758346557617,3.2909998893737793,3.0816118717193604,75,11,0,2022-07-04T08:51:46,4541,75.68958333333333,4540236,75.6706,25785.611053191387,2261.0227557321127
1656913907,395000,7252230,28.53479766845703,3.2929999828338623,3.015531063079834,104,11,0,2022-07-04T08:51:47,4542,75.70658333333334,4541257,75.68761666666666,25789.445061433325,2259.7014551578213
1656913908,415000,7253250,28.53479766845703,3.2909998893737793,3.078388214111328,133,11,0,2022-07-04T08:51:48,4543,75.72358333333334,4542277,75.70461666666667,25794.969140625002,2257.7999999999997
1656913909,435000,7254270,28.241758346557617,3.2929999828338623,3.015531063079834,162,11,0,2022-07-04T08:51:49,4544,75.74058333333333,4543297,75.72161666666666,25802.405807944753,2255.2420062695915
1656913910,455000,7255289,28.53479766845703,3.2950000762939453,3.012307643890381,191,11,0,2022-07-04T08:51:50,4545,75.75758333333333,4544316,75.73859999999999,25800.646011758137,2255.8464711274055
1656913911,475000,7256310,28.241758346557617,3.2929999828338623,3.018754482269287,220,11,0,2022-07-04T08:51:51,4546,75.77458333333334,4545337,75.75561666666667,25814.28728426991,2251.1641004862217
1656913912,495000,7257330,28.241758346557617,3.2909998893737793,3.071941375732422,249,11,0,2022-07-04T08:51:52,4547,75.79158333333334,4546357,75.77261666666666,25821.767268828866,2248.5971608832806
1656913913,515000,7258350,28.241758346557617,3.2950000762939453,3.015531063079834,22,11,0,2022-07-04T08:51:53,4548,75.80858333333335,4547377,75.78961666666667,25823.945990657383,2247.8506704591623
1656913914,534000,7259369,28.53479766845703,3.2950000762939453,3.0171430110931396,51,11,0,2022-07-04T08:51:54,4549,75.82556666666666,4548396,75.80659999999999,25829.99379076616,2245.780373831776
1656913915,553000,7260388,28.241758346557617,3.2909998893737793,3.0816118717193604,80,11,0,2022-07-04T08:51:55,4550,75.84255,4549415,75.82358333333333,25835.785201875828,2243.800037800038
1656913916,573000,7261407,28.241758346557617,3.2909998893737793,3.0816118717193604,109,11,0,2022-07-04T08:51:56,4551,75.85955,4550434,75.84056666666667,25841.42703470516,2241.8722358722357
1656913917,593000,7262428,28.241758346557617,3.2929999828338623,3.015531063079834,138,11,0,2022-07-04T08:51:57,4552,75.87655,4551455,75.85758333333334,25846.98514586675,2239.9730522456466
1656913918,613000,7263448,28.53479766845703,3.2929999828338623,3.0139193534851074,167,11,0,2022-07-04T08:51:58,4553,75.89355,4552475,75.87458333333333,25849.722349407082,2239.03813015582
1656913919,634000,7264468,28.53479766845703,3.2950000762939453,3.0139193534851074,196,11,0,2022-07-04T08:51:59,4554,75.91056666666667,4553495,75.89158333333333,25847.205732269707,2239.8977085242896
1656913920,654000,7265488,28.53479766845703,3.2950000762939453,3.012307643890381,225,11,0,2022-07-04T08:52:00,4555,75.92756666666668,4554515,75.90858333333334,25862.659320762566,2234.6327917282088
1656913921,674000,7266509,28.241758346557617,3.2929999828338623,3.0139193534851074,254,11,0,2022-07-04T08:52:01,4556,75.94456666666666,4555536,75.9256,25871.2830284317,2231.6952785145886
1656913922,694000,7267529,28.53479766845703,3.2880001068115234,3.1186814308166504,27,11,0,2022-07-04T08:52:02,4557,75.96156666666667,4556556,75.9426,25872.87466470491,2231.154164456233
1656913927,793000,7272627,28.53479766845703,3.2950000762939453,3.0139193534851074,172,11,0,2022-07-04T08:52:07,4562,76.04655,4561654,76.02756666666667,25902.81640625,2221.0
1656913928,813000,7273648,28.53479766845703,3.2950000762939453,3.012307643890381,202,11,0,2022-07-04T08:52:08,4563,76.06355,4562675,76.04458333333334,25903.030363805352,2220.9276444726947
1656913929,834000,7274668,28.53479766845703,3.2950000762939453,3.012307643890381,231,11,0,2022-07-04T08:52:09,4564,76.08056666666667,4563695,76.06158333333333,25906.22876298566,2219.8460193866204
1656913930,854000,7275689,28.53479766845703,3.2860000133514404,3.1186814308166504,4,11,0,2022-07-04T08:52:10,4565,76.09756666666667,4564716,76.07860000000001,25910.33928294106,2218.45665378244
1656913931,874000,7276709,28.53479766845703,3.2950000762939453,3.0139193534851074,33,11,0,2022-07-04T08:52:11,4566,76.11456666666666,4565736,76.0956,25917.751164038054,2215.9534327259344
1656913932,893000,7277728,28.827838897705078,3.2929999828338623,3.0139193534851074,63,11,0,2022-07-04T08:52:12,4567,76.13155,4566755,76.11258333333333,25924.39169921875,2213.713265306122
1656913939,12000,7283846,28.53479766845703,3.2950000762939453,3.0090842247009277,232,11,0,2022-07-04T08:52:19,4574,76.23353333333333,4572873,76.21454999999999,25964.899485617272,2200.101596675417
1656913940,32000,7284867,28.827838897705078,3.2950000762939453,3.0106959342956543,4,11,0,2022-07-04T08:52:20,4575,76.25053333333334,4573894,76.23156666666667,25971.709004497738,2197.8170465188887
1656913941,52000,7285887,28.53479766845703,3.2929999828338623,3.078388214111328,32,11,0,2022-07-04T08:52:21,4576,76.26753333333333,4574914,76.24856666666666,25975.516738458085,2196.5432407118333
1656913942,73000,7286907,28.827838897705078,3.2950000762939453,3.012307643890381,60,11,0,2022-07-04T08:52:22,4577,76.28455000000001,4575934,76.26556666666667,25979.044137634388,2195.3636314274854
1656913943,93000,7287928,28.827838897705078,3.2950000762939453,3.0106959342956543,88,11,0,2022-07-04T08:52:23,4578,76.30154999999999,4576955,76.28258333333333,25982.357419011645,2194.25595916816
1656913944,113000,7288947,28.827838897705078,3.2929999828338623,3.0171430110931396,117,11,0,2022-07-04T08:52:24,4579,76.31855,4577974,76.29956666666666,25978.822392909315,2195.4377635197066
1656913945,133000,7289967,28.53479766845703,3.2950000762939453,3.015531063079834,147,11,0,2022-07-04T08:52:25,4580,76.33555,4578994,76.31656666666666,25984.96711678649,2193.384784601284
1656913946,152000,7290987,28.827838897705078,3.2929999828338623,3.0139193534851074,176,11,0,2022-07-04T08:52:26,4581,76.35253333333334,4580014,76.33356666666667,25997.172228850035,2189.3153635052786
1656913947,173000,7292007,28.827838897705078,3.2950000762939453,3.012307643890381,205,11,0,2022-07-04T08:52:27,4582,76.36954999999999,4581034,76.35056666666667,26010.0058163134,2185.041211219128
1656913948,196000,7293031,28.53479766845703,3.2909998893737793,3.0735530853271484,234,11,0,2022-07-04T08:52:28,4583,76.3866,4582058,76.36763333333333,26017.804466708436,2182.445238835354
1656913949,216000,7294051,28.53479766845703,3.2929999828338623,3.075164794921875,7,11,0,2022-07-04T08:52:29,4584,76.40360000000001,4583078,76.38463333333334,26020.985443744496,2181.388353538493
1656913955,330000,7300164,28.53479766845703,3.2909998893737793,3.0816118717193604,182,11,0,2022-07-04T08:52:35,4590,76.5055,4589191,76.48651666666666,26044.139671188186,2173.7122637362636
1656913956,349000,7301183,28.241758346557617,3.2909998893737793,3.078388214111328,211,11,0,2022-07-04T08:52:36,4591,76.52248333333334,4590210,76.5035,26048.203248626374,2172.368527472527
1656913961,446000,7306281,28.53479766845703,3.2950000762939453,3.0106959342956543,100,11,0,2022-07-04T08:52:41,4596,76.60743333333333,4595308,76.58846666666666,26066.976862098625,2166.1687155963305
1656913962,466000,7307301,28.53479766845703,3.2929999828338623,3.0090842247009277,129,11,0,2022-07-04T08:52:42,4597,76.62443333333334,4596328,76.60546666666667,26075.682165836784,2163.300775995861
1656913963,486000,7308321,28.53479766845703,3.2909998893737793,3.083223342895508,158,11,0,2022-07-04T08:52:43,4598,76.64143333333332,4597348,76.62246666666667,26081.199720202956,2161.4840997148917
1656913964,507000,7309341,28.53479766845703,3.2909998893737793,3.078388214111328,187,11,0,2022-07-04T08:52:44,4599,76.65844999999999,4598368,76.63946666666668,26083.469533020507,2160.7377001242785
1656913965,527000,7310361,28.53479766845703,3.2929999828338623,3.012307643890381,216,11,0,2022-07-04T08:52:45,4600,76.67545,4599388,76.65646666666666,26085.78339057438,2159.976842999787
1656913966,547000,7311382,29.120878219604492,3.2950000762939453,3.015531063079834,245,11,0,2022-07-04T08:52:46,4601,76.69245,4600409,76.67348333333332,26092.380633543624,2157.809857658807
1656913967,567000,7312402,28.53479766845703,3.2909998893737793,3.0735530853271484,18,11,0,2022-07-04T08:52:47,4602,76.70945,4601429,76.69048333333333,26097.890625,2156.0
1656913968,587000,7313422,29.120878219604492,3.2929999828338623,3.012307643890381,47,11,0,2022-07-04T08:52:48,4603,76.72645000000001,4602449,76.70748333333333,26097.890625,2156.0
1656913969,607000,7314442,29.120878219604492,3.2950000762939453,3.0139193534851074,76,11,0,2022-07-04T08:52:49,4604,76.74345,4603469,76.72448333333334,26101.914686582,2154.6805510534846
1656913970,628000,7315462,28.53479766845703,3.2929999828338623,3.012307643890381,105,11,0,2022-07-04T08:52:50,4605,76.76046666666666,4604489,76.74148333333332,26103.990234375,2154.0
1656913971,648000,7316482,28.827838897705078,3.2950000762939453,3.012307643890381,134,11,0,2022-07-04T08:52:51,4606,76.77746666666667,4605509,76.75848333333333,26112.285648696998,2151.286486179047
1656913972,668000,7317503,28.827838897705078,3.2950000762939453,3.0139193534851074,163,11,0,2022-07-04T08:52:52,4607,76.79446666666666,4606530,76.7755,26128.247396684987,2146.0652371743868
1656913973,688000,7318523,29.120878219604492,3.2950000762939453,3.0171430110931396,192,11,0,2022-07-04T08:52:53,4608,76.81146666666667,4607550,76.7925,26137.908210157133,2142.9119946507567
1656913974,708000,7319543,28.827838897705078,3.2880001068115234,3.105787515640259,221,11,0,2022-07-04T08:52:54,4609,76.82846666666666,4608570,76.8095,26145.954016272754,2140.2888077358316
1656913980,826000,7325661,28.827838897705078,3.2929999828338623,3.0139193534851074,140,11,0,2022-07-04T08:53:00,4615,76.93043333333334,4614688,76.91146666666667,26164.789523904827,2134.1644834484096
1656913981,846000,7326681,28.827838897705078,3.2880001068115234,3.1041758060455322,169,11,0,2022-07-04T08:53:01,4616,76.94743333333332,4615708,76.92846666666667,26172.90251049094,2131.531715815965
1656913982,867000,7327701,28.827838897705078,3.2880001068115234,3.105787515640259,198,11,0,2022-07-04T08:53:02,4617,76.96445,4616728,76.94546666666666,26171.488532642325,2131.9900990099013
1656913983,887000,7328721,28.827838897705078,3.2929999828338623,3.015531063079834,228,11,0,2022-07-04T08:53:03,4618,76.98145,4617748,76.96246666666666,26169.428013392855,2132.658482142858
1656913984,907000,7329742,28.53479766845703,3.2929999828338623,3.0171430110931396,1,11,0,2022-07-04T08:53:04,4619,76.99845,4618769,76.97948333333333,26175.119977678572,2130.812439671814
1656913985,927000,7330762,29.120878219604492,3.2950000762939453,3.012307643890381,30,11,0,2022-07-04T08:53:05,4620,77.01545,4619789,76.99648333333333,26179.24037938245,2129.476535288726
1656913986,947000,7331782,28.827838897705078,3.2950000762939453,3.0139193534851074,58,11,0,2022-07-04T08:53:06,4621,77.03245,4620809,77.01348333333334,26179.296384480982,2129.4583868011
1656913987,968000,7332802,29.120878219604492,3.2950000762939453,3.012307643890381,86,11,0,2022-07-04T08:53:07,4622,77.04946666666666,4621829,77.03048333333332,26182.49861187657,2128.4238204306016
1656913988,988000,7333822,28.827838897705078,3.2880001068115234,3.112234354019165,114,11,0,2022-07-04T08:53:08,4623,77.06646666666667,4622849,77.04748333333333,26194.056584706395,2124.685845167201
1656913990,8000,7334842,29.120878219604492,3.2880001068115234,3.1025640964508057,142,11,0,2022-07-04T08:53:10,4625,77.08346666666667,4623869,77.06448333333333,26203.907019805905,2121.501562500001
1656913991,28000,7335863,28.827838897705078,3.2950000762939453,3.0106959342956543,170,11,0,2022-07-04T08:53:11,4626,77.10046666666668,4624890,77.0815,26209.398505401612,2119.7307291666666
1656913992,48000,7336883,29.120878219604492,3.2950000762939453,3.012307643890381,198,11,0,2022-07-04T08:53:12,4627,77.11746666666666,4625910,77.0985,26214.600033103816,2118.053389830507
1656913993,68000,7337903,29.120878219604492,3.2950000762939453,3.012307643890381,226,11,0,2022-07-04T08:53:13,4628,77.13446666666667,4626930,77.11550000000001,26207.288183142333,2120.410862865948
1656913994,89000,7338923,28.827838897705078,3.2950000762939453,3.018754482269287,254,11,0,2022-07-04T08:53:14,4629,77.15148333333333,4627950,77.1325,26211.797222916666,2118.9570666666673
1656913995,109000,7339943,29.120878219604492,3.2950000762939453,3.018754482269287,26,11,0,2022-07-04T08:53:15,4630,77.16848333333334,4628970,77.1495,26216.428294513524,2117.4642625607776
1656913996,129000,7340963,28.53479766845703,3.2929999828338623,3.0799999237060547,56,11,0,2022-07-04T08:53:16,4631,77.18548333333334,4629990,77.1665,26222.490787383867,2115.5138279484104
1656913997,148000,7341982,29.120878219604492,3.2950000762939453,3.012307643890381,85,11,0,2022-07-04T08:53:17,4632,77.20246666666667,4631009,77.18348333333333,26233.024131260598,2112.1266453928993
1656913998,168000,7343002,28.827838897705078,3.2950000762939453,3.015531063079834,114,11,0,2022-07-04T08:53:18,4633,77.21946666666666,4632029,77.20048333333334,26241.388792654336,2109.442302682991
1656913999,191000,7344026,28.827838897705078,3.2950000762939453,3.0139193534851074,143,11,0,2022-07-04T08:53:19,4634,77.23651666666666,4633053,77.21755,26249.0,2107.0
1656914000,211000,7345046,29.120878219604492,3.2909998893737793,3.0654945373535156,172,11,0,2022-07-04T08:53:20,4635,77.25351666666667,4634073,77.23455,26249.0,2107.0
1656914001,232000,7346066,29.120878219604492,3.2950000762939453,3.018754482269287,201,11,0,2022-07-04T08:53:21,4636,77.27053333333333,4635093,77.25155,26249.0,2107.0
1656914002,252000,7347086,28.827838897705078,3.2950000762939453,3.012307643890381,230,11,0,2022-07-04T08:53:22,4637,77.28753333333334,4636113,77.26855,26249.0,2107.0
1656914003,272000,7348107,29.120878219604492,3.2950000762939453,3.0090842247009277,3,11,0,2022-07-04T08:53:23,4638,77.30453333333334,4637134,77.28556666666667,26254.32721378036,2105.29422548121
1656914004,293000,7349127,29.120878219604492,3.2950000762939453,3.018754482269287,32,11,0,2022-07-04T08:53:24,4639,77.32154999999999,4638154,77.30256666666668,26263.386869899623,2102.396172176413
1656914005,313000,7350148,29.120878219604492,3.2950000762939453,3.018754482269287,61,11,0,2022-07-04T08:53:25,4640,77.33855,4639175,77.31958333333334,26266.851119697654,2101.2880866425994
1656914006,333000,7351168,28.827838897705078,3.2929999828338623,3.0703296661376953,91,11,0,2022-07-04T08:53:26,4641,77.35555,4640195,77.33658333333332,26265.206203664904,2101.814130995358
1656914007,354000,7352188,28.827838897705078,3.2909998893737793,3.0687177181243896,120,11,0,2022-07-04T08:53:27,4642,77.37256666666667,4641215,77.35358333333333,26273.093317436735,2099.298159509202
1656914008,375000,7353210,29.120878219604492,3.2909998893737793,3.0622711181640625,149,11,0,2022-07-04T08:53:28,4643,77.38958333333333,4642237,77.37061666666666,26286.18164941206,2095.122290388549
1656914009,397000,7354232,28.827838897705078,3.2950000762939453,3.0139193534851074,178,11,0,2022-07-04T08:53:29,4644,77.40661666666666,4643259,77.38765,26284.481746706384,2095.66231841091
1656914010,420000,7355254,29.120878219604492,3.2950000762939453,3.015531063079834,207,11,0,2022-07-04T08:53:30,4645,77.42366666666666,4644281,77.40468333333334,26283.49868852563,2095.9755267423016
1656914011,442000,7356277,29.120878219604492,3.2950000762939453,3.0106959342956543,236,11,0,2022-07-04T08:53:31,4646,77.4407,4645304,77.42173333333334,26291.155396155973,2093.5367256637173
1656914012,465000,7357300,29.120878219604492,3.2909998893737793,3.0687177181243896,9,11,0,2022-07-04T08:53:32,4647,77.45775,4646327,77.43878333333333,26298.269386061947,2091.2734513274336
1656914013,487000,7358322,29.120878219604492,3.2950000762939453,3.015531063079834,38,11,0,2022-07-04T08:53:33,4648,77.47478333333333,4647349,77.45581666666666,26302.180907228143,2090.0303291958985
