time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656915656,166700,9005723,-8.406196604654337,74882.79192166013,32.962230366172335,2479.647705078125,14,13,2,2022-07-04T09:20:56,6291,104.85277833333333,6294750,104.9125,2479.1402690272193,74887.57903225804
1656915658,158700,9007715,-9.539882508419396,74855.23756250979,32.94407315178571,2482.581298828125,22,13,2,2022-07-04T09:20:58,6293,104.88597833333333,6296742,104.9457,2463.847699806266,75031.39087759815
1656915659,865700,9009422,-9.369718796860957,75001.48636869312,32.925103228977676,2467.024658203125,31,13,2,2022-07-04T09:20:59,6294,104.91442833333333,6298449,104.97415,2450.5455877910804,75156.67018160516
1656915661,231400,9010513,-8.264764211862985,75224.71425944746,32.92837931018971,2443.328125,41,13,2,2022-07-04T09:21:01,6296,104.93719,6299540,104.99233333333333,2442.157113939967,75235.75353298674
1656915662,322400,9011604,-8.220067698219555,75304.05722665304,32.913819220315546,2434.9189453125,49,13,2,2022-07-04T09:21:02,6297,104.95537333333333,6300631,105.01051666666667,2434.6619786472193,75306.48226950354
1656915663,880400,9013162,-9.276176506406681,75244.84408186538,32.89610599099734,2441.193115234375,57,13,2,2022-07-04T09:21:03,6298,104.98134,6302189,105.03648333333334,2423.9526542146923,75407.63182117029
1656915665,830400,9015112,-8.099067738758981,75548.42335825678,32.86028933256733,2409.064453125,67,13,2,2022-07-04T09:21:05,6300,105.01384,6304139,105.06898333333334,2410.7603314717626,75532.39062499999
1656915667,919400,9017201,-9.008000115649974,75553.1370261205,32.848063408602734,2408.56591796875,76,13,2,2022-07-04T09:21:07,6302,105.04865666666666,6306228,105.1038,2394.716630524901,75684.33575505968
1656915671,599600,9020881,-7.95220741026967,75915.50508655305,32.826373769074216,2370.3544921875,102,13,2,2022-07-04T09:21:11,6306,105.10999333333332,6309908,105.16513333333334,2369.3185854978706,75925.365904059
1656915673,526400,9022808,-7.887397232279182,76041.88205684177,32.82652841706163,2357.064208984375,110,13,2,2022-07-04T09:21:13,6308,105.14210666666666,6311835,105.19725,2356.275130475155,76049.40983606556
1656915675,826400,9025108,-8.17058224640839,76158.86839029867,32.79647070848688,2344.77685546875,121,13,2,2022-07-04T09:21:15,6310,105.18044,6314135,105.23558333333334,2340.1957428568476,76202.53954305801
1656915677,162400,9026444,-7.77342059872351,76291.58062135268,32.77779812019493,2330.855224609375,129,13,2,2022-07-04T09:21:17,6312,105.20270666666667,6315471,105.25784999999999,2328.71956566689,76311.96883593035
1656915678,287400,9027569,-7.741813607454242,76378.76768530317,32.75826640367076,2321.720458984375,137,13,2,2022-07-04T09:21:18,6313,105.22145666666667,6316596,105.27659999999999,2319.6496822916665,76398.54755555556
1656915679,378400,9028660,-7.704459876134183,76465.31797187931,32.78285048475305,2312.660400390625,147,13,2,2022-07-04T09:21:19,6314,105.23964,6317687,105.29478333333333,2311.598810267602,76475.46562786434
1656915681,401400,9030683,-7.652739299383552,76592.80048484696,32.778062057670795,2299.3310546875,155,13,2,2022-07-04T09:21:21,6316,105.27335666666666,6319710,105.3285,2298.077054529071,76604.8246838203
1656915683,848400,9033130,-8.073846090758162,76691.45131855995,32.7379454691324,2289.0283203125,164,13,2,2022-07-04T09:21:23,6318,105.31414,6322157,105.36928333333334,2282.0032394637988,76758.80221811456
1656915686,694400,9035976,-7.462458402191965,76963.32325006803,32.734335791563126,2260.6923828125,182,13,2,2022-07-04T09:21:26,6321,105.36157333333334,6325003,105.41671666666666,2259.8149069332353,76971.769943983
1656915687,785400,9037067,-7.424466027038489,77045.3824810153,32.70008223812782,2252.1552734375,190,13,2,2022-07-04T09:21:27,6322,105.37975666666667,6326094,105.4349,2251.599738498268,77050.72444444441
1656915689,447400,9038729,-7.360932523373208,77172.18454792927,32.714916713802566,2238.977294921875,200,13,2,2022-07-04T09:21:29,6324,105.40745666666666,6327756,105.46260000000001,2240.1326736546985,77161.08245243128
1656915691,753400,9041035,-7.300910880563583,77293.09971061423,32.72974702582111,2226.429443359375,209,13,2,2022-07-04T09:21:31,6326,105.44588999999999,6330062,105.50103333333333,2225.324594677716,77303.76989995647
1656915693,424200,9042850,-7.229076414804785,77409.54253695392,32.71025838140412,2214.360107421875,217,13,2,2022-07-04T09:21:33,6328,105.47373666666667,6331877,105.53128333333333,2212.604252916563,77426.49186589335
1656915694,659600,9043941,-7.189806882525386,77489.293506472,32.6956098438912,2206.101318359375,227,13,2,2022-07-04T09:21:34,6329,105.49432666666667,6332968,105.54946666666666,2203.5802730580685,77513.65679132265
1656915695,750600,9045032,-7.138405273631998,77575.92471443598,32.6564412015658,2197.13916015625,235,13,2,2022-07-04T09:21:35,6330,105.51251,6334059,105.56765,2195.8216229376712,77588.67002749772
1656915697,244600,9046526,-7.096262317647688,77662.79679702387,32.695776214040926,2188.159423828125,243,13,2,2022-07-04T09:21:37,6332,105.53741,6335553,105.59255,2185.1825085171413,77691.62583668005
1656915702,799700,9048414,-7.003356185621101,77832.42123009225,32.66157400648601,2170.64892578125,254,13,2,2022-07-04T09:21:42,6337,105.629995,6337441,105.62401666666666,2170.156653742453,77837.20553386872
1656915705,83700,9050698,-6.940141648999065,77954.72726162167,32.642037578866365,2158.044189453125,6,13,2,2022-07-04T09:21:45,6340,105.66806166666667,6339725,105.66208333333334,2157.6099138555187,77958.96075010902
1656915706,443700,9052058,-6.870861019793665,78072.75150047606,32.607770253435355,2145.895263671875,14,13,2,2022-07-04T09:21:46,6341,105.69072833333333,6341085,105.68475,2146.900165729191,78062.99083409716
1656915707,568700,9053183,-6.8558555308389035,78114.70294775831,32.64216900111111,2141.579833984375,24,13,2,2022-07-04T09:21:47,6342,105.70947833333334,6342210,105.7035,2138.5957877604164,78143.73688888889
1656915708,659700,9054274,-6.809561985259643,78195.65421481647,32.65697441752235,2133.259521484375,32,13,2,2022-07-04T09:21:48,6343,105.72766166666666,6343301,105.72168333333335,2130.813458660345,78219.46562786435
1656915710,334700,9056203,-6.73900419050185,78323.32407461225,32.58831060148142,2120.14990234375,41,13,2,2022-07-04T09:21:50,6345,105.75557833333333,6345230,105.75383333333333,2120.6746362993345,78318.23566878981
1656915712,506700,9058121,-6.649609619666057,78481.98778463587,32.62282531556653,2103.88427734375,51,13,2,2022-07-04T09:21:52,6347,105.79177833333333,6347148,105.78580000000001,2105.028478730007,78470.82534869618
1656915714,64700,9059679,-6.611616900071022,78566.86107924473,32.593395799545455,2095.193603515625,59,13,2,2022-07-04T09:21:54,6349,105.817745,6348706,105.81176666666667,2093.004271520729,78588.25353016688
1656915715,155700,9060770,-6.565323228384637,78655.08225076279,32.55414132139839,2086.16748046875,67,13,2,2022-07-04T09:21:55,6350,105.83592833333334,6349797,105.82995,2084.374326207678,78672.62603116408
1656915716,389700,9062004,-6.518390998896211,78752.67311156091,32.53453789089917,2076.19384765625,77,13,2,2022-07-04T09:21:56,6351,105.856495,6351031,105.85051666666666,2075.0642574563794,78763.73581847649
1656915717,672600,9063591,-6.514559795404421,78870.11299119098,32.52962727138561,2064.204345703125,86,13,2,2022-07-04T09:21:57,6352,105.87787666666667,6352618,105.87696666666668,2066.0093360533465,78852.43208045901
1656915719,459600,9065378,-6.39962361452599,78952.70031651195,32.54450564714862,2055.78076171875,94,13,2,2022-07-04T09:21:59,6354,105.90766,6354405,105.90675,2052.826912140748,78981.68674698798
1656915721,295600,9067214,-6.3121443114446265,79119.0070083733,32.579026113150526,2038.8411865234375,104,13,2,2022-07-04T09:22:01,6356,105.93826,6356241,105.93735,2040.2015457374018,79105.66248794601
1656915722,987700,9068602,-6.272555109734003,79199.3878851465,32.534811218033454,2030.6636962890625,112,13,2,2022-07-04T09:22:02,6357,105.96646166666666,6357629,105.96048333333333,2029.0123041510778,79215.64411167867
1656915724,78700,9069693,-6.228176870907168,79282.33249527516,32.52010252786068,2022.2333984375,120,13,2,2022-07-04T09:22:04,6359,105.984645,6358720,105.97866666666667,2021.245811791074,79292.05682859762
1656915725,169700,9070784,-6.208701521753301,79331.05652183003,32.49552831520308,2017.2850341796875,131,13,2,2022-07-04T09:22:05,6360,106.00282833333334,6359811,105.99685,2014.3880582585548,79359.58989598812
1656915727,485700,9073100,-6.11100544412875,79513.90121410393,32.48085919103734,1998.735107421875,139,13,2,2022-07-04T09:22:07,6362,106.04142833333334,6362127,106.03545000000001,1998.620171749628,79515.05796479175
1656915729,640700,9075255,-6.81371244204563,79569.13578801768,32.46050540631927,1993.1385498046875,147,13,2,2022-07-04T09:22:09,6364,106.077345,6364282,106.07136666666666,1982.3578388966432,79675.63387470998
1656915732,232700,9077847,-5.924552503801169,79876.03034845411,32.43671618619289,1962.0975341796875,165,13,2,2022-07-04T09:22:12,6367,106.12054499999999,6366874,106.11456666666666,1960.395385269461,79892.90490533556
