time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909198,751000,2543568,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,162,11,0,2022-07-04T07:33:18,-167,-2.7708166666666667,-167405,-2.7900833333333335,96.83064736320136
1656909199,769000,2544585,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,191,11,0,2022-07-04T07:33:19,-166,-2.75385,-166388,-2.7731333333333335,97.37933105738955
1656909200,786000,2545603,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,220,11,0,2022-07-04T07:33:20,-165,-2.7369,-165370,-2.7561666666666667,97.1538292490562
1656909201,804000,2546621,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,249,11,0,2022-07-04T07:33:21,-164,-2.719933333333333,-164352,-2.7392,96.82562647150462
1656909202,822000,2547639,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,22,11,0,2022-07-04T07:33:22,-163,-2.7029666666666667,-163334,-2.7222333333333335,94.92099058631268
1656909208,929000,2553745,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,196,11,0,2022-07-04T07:33:28,-157,-2.601183333333333,-157228,-2.6204666666666667,95.91981012444748
1656909209,947000,2554764,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,225,11,0,2022-07-04T07:33:29,-156,-2.584216666666667,-156209,-2.6034833333333336,96.2413103789136
1656909210,965000,2555782,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,253,11,0,2022-07-04T07:33:30,-155,-2.56725,-155191,-2.586516666666667,96.5628060201774
1656909211,984000,2556800,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,26,11,0,2022-07-04T07:33:31,-154,-2.5502666666666665,-154173,-2.56955,96.59381866455078
1656909213,2000,2557819,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,54,11,0,2022-07-04T07:33:33,-152,-2.5332999999999997,-153154,-2.5525666666666664,96.62562999005588
1656909214,20000,2558837,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,82,11,0,2022-07-04T07:33:34,-151,-2.5163333333333333,-152136,-2.5356,96.86766234703784
1656909215,39000,2559855,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,110,11,0,2022-07-04T07:33:35,-150,-2.49935,-151118,-2.5186333333333333,97.0908205562533
1656909216,57000,2560873,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,138,11,0,2022-07-04T07:33:36,-149,-2.4823833333333334,-150100,-2.5016666666666665,96.9498624647456
1656909217,75000,2561892,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,166,11,0,2022-07-04T07:33:37,-148,-2.465416666666667,-149081,-2.4846833333333334,96.80890437323791
1656909218,93000,2562910,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,194,11,0,2022-07-04T07:33:38,-147,-2.4484500000000002,-148063,-2.4677166666666666,96.6679462817302
1656909219,112000,2563928,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,222,11,0,2022-07-04T07:33:39,-146,-2.4314666666666667,-147045,-2.4507499999999998,96.52684972451375
1656909220,130000,2564947,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,251,11,0,2022-07-04T07:33:40,-145,-2.4145,-146026,-2.4337666666666666,96.38589163300605
1656909221,148000,2565965,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,24,11,0,2022-07-04T07:33:41,-144,-2.3975333333333335,-145008,-2.4168000000000003,96.24493354149834
1656909222,167000,2566984,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,54,11,0,2022-07-04T07:33:42,-143,-2.38055,-143989,-2.3998166666666667,96.1038369842819
1656909223,185000,2568002,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,83,11,0,2022-07-04T07:33:43,-142,-2.363583333333333,-142971,-2.38285,96.08978271484375
1656909224,207000,2569023,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,112,11,0,2022-07-04T07:33:44,-141,-2.34655,-141950,-2.3658333333333332,95.8826463849921
1656909225,225000,2570041,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,141,11,0,2022-07-04T07:33:45,-140,-2.3295833333333333,-140932,-2.3488666666666664,96.5401266963007
1656909226,243000,2571060,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,170,11,0,2022-07-04T07:33:46,-139,-2.3126166666666665,-139913,-2.3318833333333333,96.95614477383309
1656909227,261000,2572078,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,199,11,0,2022-07-04T07:33:47,-138,-2.29565,-138895,-2.314916666666667,97.00410853935237
1656909228,279000,2573096,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,228,11,0,2022-07-04T07:33:48,-137,-2.2786833333333334,-137877,-2.29795,97.05535471564234
1656909229,298000,2574114,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,1,11,0,2022-07-04T07:33:49,-136,-2.2617,-136859,-2.2809833333333334,97.02681102578912
1656909230,318000,2575134,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,30,11,0,2022-07-04T07:33:50,-135,-2.2447,-135839,-2.2639833333333335,96.64197586785993
