time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656915220,967500,8566265,21.21070098876953,57,13,0,2022-07-04T09:13:40,5855,97.59945833333333,5855292,97.5882,6050.790657134371,46890.38386801097
1656915222,58500,8567356,21.196653366088867,67,13,0,2022-07-04T09:13:42,5857,97.61764166666667,5856383,97.60638333333333,6040.869582450158,46954.15912007334
1656915223,149500,8568447,21.21070098876953,75,13,0,2022-07-04T09:13:43,5858,97.63582500000001,5857474,97.62456666666667,6031.080114287347,47017.15912007335
1656915224,240500,8569538,21.196653366088867,83,13,0,2022-07-04T09:13:44,5859,97.65400833333334,5858565,97.64274999999999,6021.313467265562,47080.08308418569
1656915225,511500,8570809,21.21070098876953,94,13,0,2022-07-04T09:13:45,5860,97.67519166666666,5859836,97.66393333333333,6010.087584229639,47152.484876260285
1656915226,602500,8571900,21.196653366088867,102,13,0,2022-07-04T09:13:46,5861,97.693375,5860927,97.68211666666666,6000.935253100652,47211.58588450964
1656915227,693500,8572991,21.196653366088867,110,13,0,2022-07-04T09:13:47,5862,97.71155833333334,5862018,97.7003,5991.959051239543,47269.60861594868
1656915228,784500,8574082,21.196653366088867,120,13,0,2022-07-04T09:13:48,5863,97.72974166666667,5863109,97.71848333333334,5982.236441450571,47332.51831442461
1656915230,55500,8575353,21.182605743408203,128,13,0,2022-07-04T09:13:50,5865,97.75092500000001,5864380,97.73966666666666,5971.586111168824,47401.513120567404
1656915231,146500,8576444,21.196653366088867,137,13,0,2022-07-04T09:13:51,5866,97.76910833333334,5865471,97.75784999999999,5960.8471240189665,47471.1591200733
1656915232,237500,8577535,21.196653366088867,147,13,0,2022-07-04T09:13:52,5867,97.78729166666668,5866562,97.77603333333333,5951.040645945518,47534.833363886355
1656915233,328500,8578626,21.21070098876953,155,13,0,2022-07-04T09:13:53,5868,97.80547499999999,5867653,97.79421666666667,5941.163245803739,47599.03538038494
1656915234,419500,8579717,21.196653366088867,163,13,0,2022-07-04T09:13:54,5869,97.82365833333333,5868744,97.8124,5932.261907747188,47656.956151419574
1656915235,687500,8580985,21.196653366088867,173,13,0,2022-07-04T09:13:55,5870,97.84479166666667,5870012,97.83353333333334,5921.860048837074,47724.709624197996
1656915236,778500,8582076,21.21070098876953,182,13,0,2022-07-04T09:13:56,5871,97.862975,5871103,97.85171666666666,5912.402532796744,47786.38386801101
1656915237,869500,8583167,21.21070098876953,190,13,0,2022-07-04T09:13:57,5872,97.88115833333333,5872194,97.8699,5902.667492105154,47849.93437213563
1656915238,960500,8584258,21.196653366088867,200,13,0,2022-07-04T09:13:58,5873,97.89934166666667,5873285,97.88808333333333,5893.11124344781,47912.38386801101
1656915240,228500,8585526,21.196653366088867,208,13,0,2022-07-04T09:14:00,5875,97.920475,5874553,97.90921666666667,5881.863584692922,47985.97350157728
1656915241,319500,8586617,21.196653366088867,216,13,0,2022-07-04T09:14:01,5876,97.93865833333332,5875644,97.9274,5872.540316098337,48047.03538038494
1656915242,410500,8587708,21.21070098876953,227,13,0,2022-07-04T09:14:02,5877,97.95684166666666,5876735,97.94558333333333,5863.694525431798,48105.03538038498
1656915243,501500,8588799,21.196653366088867,235,13,0,2022-07-04T09:14:03,5878,97.975025,5877826,97.96376666666667,5854.788557659256,48163.48487626032
1656915244,592500,8589890,21.182605743408203,243,13,0,2022-07-04T09:14:04,5879,97.99320833333333,5878917,97.98195000000001,5845.500461017602,48224.50315457409
1656915245,860500,8591158,21.196653366088867,253,13,0,2022-07-04T09:14:05,5880,98.01434166666667,5880185,98.00308333333334,5833.808312417655,48301.40659945001
1656915246,951500,8592249,21.182605743408203,5,13,0,2022-07-04T09:14:06,5881,98.032525,5881276,98.02126666666666,5823.132386518244,48371.709624197996
1656915248,42500,8593340,21.182605743408203,14,13,0,2022-07-04T09:14:08,5883,98.05070833333333,5882367,98.03945,5813.641233046665,48434.28285976165
1656915249,133500,8594431,21.21070098876953,24,13,0,2022-07-04T09:14:09,5884,98.06889166666666,5883458,98.05763333333333,5803.711818823039,48499.810632447305
1656915250,224500,8595522,21.21070098876953,32,13,0,2022-07-04T09:14:10,5885,98.087075,5884549,98.07581666666667,5795.003600804661,48557.34290220822
1656915251,492500,8596790,21.196653366088867,40,13,0,2022-07-04T09:14:11,5886,98.10820833333334,5885817,98.09695,5784.51518917206,48626.709624197996
1656915252,583500,8597881,21.224746704101562,50,13,0,2022-07-04T09:14:12,5887,98.12639166666666,5886908,98.11513333333333,5775.1659247715725,48688.608615948644
1656915253,674500,8598972,21.21070098876953,59,13,0,2022-07-04T09:14:13,5888,98.144575,5887999,98.13331666666666,5765.155749366261,48754.957103574714
1656915254,765500,8600063,21.21070098876953,67,13,0,2022-07-04T09:14:14,5889,98.16275833333334,5889090,98.1515,5754.883539735564,48823.11848937846
1656915256,36500,8601334,21.224746704101562,77,13,0,2022-07-04T09:14:16,5891,98.18394166666667,5890361,98.17268333333332,5744.456210525748,48892.38386801101
1656915257,127500,8602425,21.224746704101562,85,13,0,2022-07-04T09:14:17,5892,98.202125,5891452,98.19086666666666,5734.933828715775,48955.70962419796
1656915258,218500,8603516,21.224746704101562,93,13,0,2022-07-04T09:14:18,5893,98.22030833333334,5892543,98.20904999999999,5725.83814546216,49016.260128322654
1656915259,309500,8604607,21.21070098876953,104,13,0,2022-07-04T09:14:19,5894,98.23849166666668,5893634,98.22723333333333,5716.949875490517,49075.48487626032
